Timestamp_cubic,Vazao_cubic,Vazao_bbr,Atraso(ms),Hop_count,Bottleneck,Link_bottleneck
1711434941,13631524.0,899470156.0,33.8,5,3,df-am
1711453488,15204418.0,900146556.0,35.55,5,3,df-am
1711456849,13002380.0,900146556.0,34.13,5,3,df-am
1711495756,6396324.0,899836709.0,33.9,5,3,df-am
1711500766,5190442.0,899836709.0,33.97,5,3,df-am
1711537494,7130318.0,902198624.0,34.23,5,3,df-am
1711544071,5557467.0,902198624.0,34.31,5,3,df-am
1711561949,124623363.0,923373393.0,33.85,5,3,df-am
1711571262,276352729.0,923373393.0,35.13,5,3,df-am
1711583874,8231361.0,923373393.0,33.73,5,3,df-am
1711629494,21705618.0,902777239.0,31.26,5,3,df-am
1711640693,32715659.0,900568056.0,31.46,5,3,df-am
1711654658,28626151.0,898633226.0,35.71,5,3,df-am
1711672542,21916819.0,886099193.0,33.56,5,3,df-am
1711692842,37959887.0,886099193.0,34.58,5,3,df-am
1711729104,300494206.0,921594736.0,29.4,5,3,df-am
1711753665,13579080.0,853428396.0,30.65,5,3,df-am
1711764234,11167356.0,904713634.0,29.21,5,3,df-am
1711811845,9070198.0,899522990.0,30.33,5,3,df-am
1711814871,252525615.0,915985076.0,30.0,5,3,df-am
1711838814,93061301.0,918501892.0,29.26,5,3,df-am
1711846252,20394826.0,918501892.0,29.15,5,3,df-am
1711901936,16619950.0,922117273.0,30.07,5,3,df-am
1711916378,11219761.0,915411425.0,30.47,5,3,df-am
1711937638,8021691.0,903190395.0,30.09,5,3,df-am
1711939561,11064703.0,903190395.0,30.09,5,3,df-am
1711977306,222507982.0,917872791.0,29.4,5,3,df-am
1711996163,95158747.0,852861933.0,26.5,5,3,df-am
1712009589,79024323.0,881923632.0,27.36,5,3,df-am
1712022674,54001788.0,881923632.0,29.85,5,3,df-am
1712050777,55417299.0,921436528.0,29.93,5,3,df-am
1712059418,52009484.0,921436528.0,29.55,5,3,df-am
1712065583,123679798.0,921436528.0,26.93,5,3,df-am
1712090713,11901334.0,904137232.0,29.27,5,3,df-am
1712105404,6606055.0,904923440.0,29.82,5,3,df-am
1712130053,6081746.0,673974077.0,32.89,5,3,df-am
1712163295,44407202.0,673974077.0,31.83,5,3,df-am
1712182107,13736377.0,904763937.0,33.32,5,3,df-am
