Timestamp_cubic,Vazao_cubic,Vazao_bbr,Atraso(ms),Hop_count,Bottleneck,Link_bottleneck
1705412680,305294199.0,815793800.0,67.41,10,100.0,pa-ap
1705415826,21757975.0,815793800.0,62.98,10,100.0,pa-ap
1705449845,119695207.0,881776289.0,61.14,10,100.0,pa-ap
1705491504,342070355.0,918997049.0,61.09,10,100.0,pa-ap
1705498021,226492189.0,918997049.0,63.33,10,100.0,pa-ap
1705538711,316723061.0,879978441.0,62.47,10,100.0,pa-ap
1705546479,358874615.0,890994496.0,67.11,10,100.0,pa-ap
1705590943,415110939.0,932709564.0,28.95,10,100.0,pa-ap
1705620023,21495887.0,811285704.0,52.85,10,100.0,pa-ap
1705763600,407494230.0,933458333.0,42.2,8,3.0,df-am
1705777640,532851543.0,935461384.0,36.34,10,100.0,pa-ap
1705800445,501739069.0,936017403.0,35.77,10,100.0,pa-ap
1705839062,503392217.0,936590518.0,35.77,10,100.0,pa-ap
1705871500,22125029.0,823081952.0,66.93,10,100.0,pa-ap
1705890151,278503122.0,886807035.0,52.43,9,10.0,ma-pa
1705918503,219467922.0,929878963.0,54.34,9,10.0,ma-pa
1705948152,137678662.0,799069378.0,71.97,10,100.0,pa-ap
1705965755,441765488.0,874202400.0,49.46,9,10.0,ma-pa
1705996186,132750717.0,816633765.0,68.15,10,100.0,pa-ap
1706004053,201117027.0,864762659.0,65.61,10,100.0,pa-ap
1706063543,310012160.0,925633102.0,35.64,10,100.0,pa-ap
1706101858,133170270.0,828326752.0,64.59,10,100.0,pa-ap
1706271018,79796661.0,853068023.0,37.47,10,100.0,pa-ap
1706298017,84147668.0,798126176.0,67.84,10,100.0,pa-ap
1706361107,122736250.0,811625011.0,66.48,10,100.0,pa-ap
1706445838,293653914.0,890816849.0,51.03,9,10.0,ma-pa
1706459565,236558568.0,890816849.0,50.81,9,10.0,ma-pa
1706474284,219518979.0,890816849.0,50.45,9,10.0,ma-pa
1706487299,291456033.0,848457137.0,50.28,9,10.0,ma-pa
1706563023,68313199.0,557894609.0,71.07,10,100.0,pa-ap
1706604559,354418262.0,793720833.0,40.1,10,100.0,pa-ap
1706780213,540227246.0,934544574.0,29.53,10,100.0,pa-ap
1706794930,187696117.0,849241872.0,54.87,9,10.0,ma-pa
1706814038,84672871.0,854851242.0,66.07,8,3.0,df-am
1706828230,398722658.0,870475540.0,40.48,8,3.0,df-am
1706858934,442814973.0,913311065.0,40.92,8,3.0,df-am
1706872824,302514312.0,888407037.0,40.55,8,3.0,df-am
1706940879,160432015.0,844919472.0,47.66,9,10.0,ma-pa
1706964136,438200983.0,907181196.0,49.76,9,10.0,ma-pa
1707025345,358136441.0,881538636.0,34.82,10,100.0,pa-ap
1707049844,328415448.0,890348151.0,33.95,10,100.0,pa-ap
1707074504,126615552.0,889511557.0,60.29,10,100.0,pa-ap
1707120054,414348936.0,900465270.0,34.9,10,100.0,pa-ap
1707126597,529951131.0,900465270.0,34.67,10,100.0,pa-ap
1707160122,23068748.0,805097256.0,66.2,10,100.0,pa-ap
1707173674,138884148.0,939682557.0,71.49,10,100.0,pa-ap
1707218408,535350931.0,899049781.0,40.86,10,100.0,pa-ap
1707236601,112040424.0,888618130.0,54.77,9,10.0,ma-pa
1707249138,132278451.0,888618130.0,63.53,10,100.0,pa-ap
1707263055,125042575.0,818098504.0,63.77,10,100.0,pa-ap
1707288318,31876723.0,803947841.0,69.41,10,100.0,pa-ap
1707334826,522300719.0,806304829.0,41.97,10,100.0,pa-ap
1707356829,128403344.0,789681756.0,63.18,10,100.0,pa-ap
1707384324,195926533.0,891606490.0,51.73,10,100.0,pa-ap
1707385382,342152264.0,891606490.0,60.83,10,100.0,pa-ap
1707404824,21810319.0,815953330.0,62.79,10,100.0,pa-ap
1707454937,545414313.0,889771211.0,48.99,10,100.0,pa-ap
1707473815,362650317.0,889771211.0,48.81,9,10.0,ma-pa
1707516497,542585895.0,893386975.0,35.3,10,100.0,pa-ap
1707516918,431963345.0,893386975.0,34.91,10,100.0,pa-ap
