Timestamp_cubic,Vazao_cubic,Vazao_bbr,Atraso(ms),Hop_count,Bottleneck,Link_bottleneck
1713829077,38010961.0,881961374.0,39.3,5,100.0,df-ba
1713925615,810211049.0,816565535.0,13.34,5,100.0,df-ba
1713965871,767611787.0,875774441.0,16.18,5,100.0,df-ba
1713980665,691747183.0,875774441.0,16.58,5,100.0,df-ba
1713996925,766981643.0,880593948.0,30.88,5,100.0,df-ba
1714008650,769761489.0,880593948.0,30.71,5,100.0,df-ba
1714076497,798334694.0,874460742.0,17.4,5,100.0,df-ba
1714097708,652477786.0,887357173.0,14.38,5,100.0,df-ba
1714165961,788007937.0,874251070.0,17.04,5,100.0,df-ba
1714170323,776835975.0,874251070.0,15.97,5,100.0,df-ba
1714183023,718541015.0,874251070.0,17.02,5,100.0,df-ba
1714248626,822611861.0,879653881.0,17.76,5,100.0,df-ba
1714254179,745279677.0,879653881.0,16.34,5,100.0,df-ba
1714272663,779932622.0,886573224.0,15.29,5,100.0,df-ba
1714321643,659235459.0,860202977.0,20.79,5,100.0,df-ba
1714335928,568855893.0,879705518.0,19.34,5,100.0,df-ba
1714346698,793459799.0,879705518.0,20.52,5,100.0,df-ba
1714358566,432801020.0,879705518.0,19.97,5,100.0,df-ba
1714401513,640848853.0,879812267.0,19.97,5,100.0,df-ba
1714426103,690332391.0,888093707.0,20.82,5,100.0,df-ba
1714438972,809345530.0,870160837.0,22.43,5,100.0,df-ba
1714483601,776012326.0,883847494.0,23.23,5,100.0,df-ba
1714514556,750991032.0,885315372.0,25.7,5,100.0,df-ba
1714528690,738569010.0,885315372.0,25.92,5,100.0,df-ba
1714564632,778256375.0,883743873.0,22.27,5,100.0,df-ba
1714577843,756391659.0,882562148.0,9.33,5,100.0,df-ba
1714600933,565131730.0,885155917.0,24.22,5,100.0,df-ba
1714655203,775007015.0,870268697.0,26.05,5,100.0,df-ba
1714689497,738889903.0,706898924.0,28.81,5,100.0,df-ba
1714745537,705955556.0,884897135.0,33.11,5,100.0,df-ba
1714772227,727608632.0,887517033.0,26.23,5,100.0,df-ba
1714781281,780930334.0,885420806.0,27.38,5,100.0,df-ba
1714791468,767348914.0,885420806.0,28.4,5,100.0,df-ba
1714916143,744122665.0,875626873.0,28.35,5,100.0,df-ba
1714943469,655570010.0,880171056.0,21.84,5,100.0,df-ba
1714955090,718662187.0,905393897.0,32.0,5,100.0,df-ba
1714983607,903506413.0,696780877.0,52.53,5,100.0,df-ba
1715004100,671457286.0,696780877.0,21.8,5,100.0,df-ba
1715016012,795136850.0,875100039.0,31.86,5,100.0,df-ba
1715198655,683988108.0,888772351.0,51.96,5,100.0,df-ba
1715236054,768921203.0,897426372.0,23.68,5,100.0,df-ba
1715335006,786013355.0,870688433.0,53.69,5,100.0,df-ba
1715346676,737937020.0,870688433.0,54.78,5,100.0,df-ba
1715378222,464153071.0,885420274.0,21.05,5,100.0,df-ba
1715420224,709154111.0,887148966.0,38.37,5,100.0,df-ba
1715435718,732324416.0,884947352.0,20.56,5,100.0,df-ba
1715454564,727768866.0,878393608.0,46.87,5,100.0,df-ba
1715479261,824663109.0,885265245.0,21.09,5,100.0,df-ba
1715493267,646710638.0,885265245.0,23.2,5,100.0,df-ba
1715501427,666792312.0,885265245.0,18.03,5,100.0,df-ba
1715533411,684931384.0,876541954.0,53.14,5,100.0,df-ba
1715541658,733796603.0,879967267.0,21.79,5,100.0,df-ba
1715544832,515218796.0,879967267.0,21.49,5,100.0,df-ba
1715554155,710413898.0,879967267.0,21.67,5,100.0,df-ba
1715568099,798019363.0,879967267.0,19.98,5,100.0,df-ba
1715597833,749208226.0,893704139.0,18.28,5,100.0,df-ba
1715618621,540028539.0,862401029.0,31.72,5,100.0,df-ba
1715629278,763367908.0,888776083.0,60.92,5,100.0,df-ba
1715637410,708313512.0,888776083.0,23.31,5,100.0,df-ba
1715686846,734536339.0,869955254.0,22.45,5,100.0,df-ba
1715708325,579026649.0,860045742.0,23.98,5,100.0,df-ba
1715720716,773534360.0,860045742.0,24.69,5,100.0,df-ba
1715728715,571007428.0,860045742.0,25.64,5,100.0,df-ba
1715788644,792356810.0,885902013.0,24.22,5,100.0,df-ba
1715816805,612560708.0,884213834.0,22.09,5,100.0,df-ba
1715821846,749997358.0,884003101.0,30.8,5,100.0,df-ba
1715857258,816265129.0,730493428.0,21.71,5,100.0,df-ba
1715876487,740764441.0,881750820.0,21.45,5,100.0,df-ba
1715892610,529742740.0,874409537.0,21.43,5,100.0,df-ba
1715899386,430389998.0,886256213.0,21.97,5,100.0,df-ba
1715923110,659768109.0,886256213.0,22.03,5,100.0,df-ba
1715979469,813172639.0,886256080.0,22.86,5,100.0,df-ba
1715994164,747019798.0,880377171.0,22.41,5,100.0,df-ba
1716021125,619603620.0,882044402.0,21.78,5,100.0,df-ba
1716036420,696672779.0,882044402.0,24.17,5,100.0,df-ba
1716049534,756656905.0,886049599.0,21.09,5,100.0,df-ba
