Timestamp_cubic,Vazao_cubic,Vazao_bbr,Atraso(ms),Hop_count,Bottleneck,Link_bottleneck
1705458356,928358246.0,924219877.0,10.74,7,100.0,ba-ce
1705488770,762632489.0,923690783.0,12.27,7,100.0,ba-ce
1705533101,915562669.0,936955834.0,24.21,8,10.0,pa-ma
1705572073,908251985.0,938791407.0,11.37,7,100.0,ba-ce
1705578139,885947222.0,938791407.0,18.22,7,100.0,ba-ce
1705618824,927114645.0,921096321.0,26.07,8,10.0,pa-ma
1705624061,830719507.0,921096321.0,23.97,8,10.0,pa-ma
1705660745,798440750.0,923801044.0,20.11,7,100.0,ba-ce
1705672714,875092688.0,922149221.0,14.9,7,100.0,ba-ce
1705703726,604793305.0,922149221.0,24.57,7,100.0,ba-ce
1705744654,894309789.0,911947003.0,20.45,7,100.0,ba-ce
1705751607,921643248.0,905970932.0,19.4,7,100.0,ba-ce
1705770429,879438932.0,923118035.0,20.41,7,100.0,ba-ce
1705805723,846040227.0,917608598.0,37.55,10,100.0,df-rj
1705828986,886680520.0,921805097.0,38.14,10,100.0,df-rj
1705852333,816375737.0,921805097.0,19.3,7,100.0,ba-ce
1705878986,878188771.0,924581749.0,17.05,8,10.0,pa-ma
1705883203,907600220.0,924581749.0,18.46,8,10.0,pa-ma
1705920444,882436059.0,920768830.0,16.9,8,100.0,pi-ce
1705930070,687679590.0,920768830.0,20.8,8,100.0,pi-ce
1705944539,897395029.0,921909724.0,17.11,7,100.0,ba-ce
1706003118,771400644.0,913264573.0,20.53,7,100.0,ba-ce
1706032253,650223278.0,899428431.0,17.32,7,100.0,ba-ce
1706048604,315165387.0,895747615.0,18.42,7,100.0,ba-ce
1706123287,524026327.0,900100833.0,23.13,8,100.0,pi-ce
1706156001,469279371.0,914101246.0,19.25,7,100.0,ba-ce
1706177418,523536167.0,920231954.0,18.43,7,100.0,ba-ce
1706200374,240177137.0,892288736.0,18.58,7,100.0,ba-ce
1706231514,392535367.0,886259625.0,12.07,7,100.0,ba-ce
1706256547,460924627.0,890128244.0,22.95,8,100.0,pi-ce
1706273737,639371933.0,890128244.0,11.03,7,100.0,ba-ce
1706289654,546833942.0,906601710.0,10.23,7,100.0,ba-ce
1706300212,727659715.0,910425656.0,11.27,7,100.0,ba-ce
1706335222,921438095.0,923640848.0,12.97,7,100.0,ba-ce
1706358630,638740709.0,908069267.0,12.77,7,100.0,ba-ce
1706372600,737465012.0,906390635.0,12.36,7,100.0,ba-ce
1706385095,868743608.0,902672726.0,12.41,7,100.0,ba-ce
1706395806,500433946.0,902672726.0,11.88,7,100.0,ba-ce
1706407912,721367931.0,902672726.0,11.18,7,100.0,ba-ce
1706442058,341004638.0,761949807.0,22.36,9,10.0,pa-ma
1706465454,488076244.0,898641051.0,16.35,9,10.0,pa-ma
1706468345,524563441.0,898641051.0,17.26,8,10.0,pa-ma
1706478716,558576965.0,907779167.0,14.84,8,10.0,pa-ma
1706520409,496711543.0,910850643.0,14.28,9,10.0,pa-ma
1706537355,530873470.0,910850643.0,26.85,8,10.0,pa-ma
1706559446,645751775.0,880965310.0,6.37,7,100.0,ba-ce
1706560242,379532595.0,880965310.0,5.61,7,100.0,ba-ce
1706574616,658556411.0,880965310.0,21.89,7,100.0,ba-ce
1706613459,183186263.0,911475553.0,19.17,7,100.0,ba-ce
1706618841,585054003.0,911475553.0,19.48,7,100.0,ba-ce
1706697039,424674277.0,924690536.0,18.86,7,100.0,ba-ce
1706704818,843110315.0,924690536.0,19.8,7,100.0,ba-ce
1706721376,888095306.0,935384138.0,19.32,7,100.0,ba-ce
1706733036,866474654.0,935384138.0,10.47,7,100.0,ba-ce
1706748975,738862312.0,935384138.0,13.09,7,100.0,ba-ce
1706776276,874140137.0,924481051.0,14.15,7,100.0,ba-ce
1706810649,742354838.0,919220867.0,18.57,7,100.0,ba-ce
1706872399,808821240.0,911422897.0,16.15,7,100.0,ba-ce
1706895350,871316928.0,919886780.0,8.08,8,10.0,pa-ma
1706920515,854983623.0,922434705.0,16.27,7,100.0,ba-ce
1706969915,773537531.0,905522785.0,9.83,7,100.0,ba-ce
1706986107,929351654.0,905522785.0,13.68,7,100.0,ba-ce
1706997448,838807196.0,905522785.0,16.11,7,100.0,ba-ce
1707006753,916881206.0,905522785.0,26.46,7,100.0,ba-ce
1707059525,798437636.0,903859194.0,23.66,7,100.0,ba-ce
1707077872,913996068.0,925083997.0,20.06,7,100.0,ba-ce
1707118439,854512205.0,912676671.0,27.65,8,100.0,pi-ce
1707135132,872414446.0,912676671.0,27.6,8,100.0,pi-ce
1707163935,879130514.0,921124995.0,21.37,7,100.0,ba-ce
1707261039,894618692.0,921303939.0,9.72,7,100.0,ba-ce
1707291470,902950965.0,923799382.0,11.53,8,10.0,pa-ma
1707294929,766355678.0,923799382.0,12.94,8,10.0,pa-ma
1707336099,895380389.0,923950059.0,21.4,7,100.0,ba-ce
1707344484,793616451.0,923950059.0,11.95,7,100.0,ba-ce
1707388481,840226091.0,933444688.0,10.54,7,100.0,ba-ce
1707423547,619173694.0,922749971.0,61.85,12,10.0,pa-ma
1707438336,846256518.0,919485379.0,60.85,12,10.0,pa-ma
1707440389,796026430.0,919485379.0,60.07,12,10.0,pa-ma
1707490010,818203034.0,659289984.0,11.31,7,100.0,ba-ce
