Timestamp_cubic,Vazao_cubic,Vazao_bbr,Atraso(ms),Hop_count,Bottleneck,Link_bottleneck
1705445542,909481393.0,930455634.0,2.61,10,100.0,rj-es
1705447498,914784746.0,930455634.0,0.86,10,100.0,rj-es
1705495296,900530855.0,914508763.0,25.61,8,100.0,ba-es
1705506379,933130021.0,916352353.0,14.65,8,100.0,ba-es
1705529823,919297426.0,925001318.0,11.88,8,100.0,ba-es
1705540271,793405665.0,925001318.0,-7.82,9,100.0,ba-es
1705559440,930402833.0,926629344.0,9.08,10,100.0,rj-es
1705571692,937953529.0,926629344.0,5.46,10,100.0,rj-es
1705602207,933303734.0,916208812.0,16.88,8,100.0,ba-es
1705614718,883059602.0,911323079.0,9.88,8,100.0,ba-es
1705626563,670675217.0,911323079.0,9.23,8,100.0,ba-es
1705656823,937532645.0,924806901.0,10.63,8,100.0,ba-es
1705666621,775370492.0,925108720.0,9.66,8,100.0,ba-es
1705677736,931451970.0,925108720.0,11.62,8,100.0,ba-es
1705692068,772365904.0,899258957.0,13.05,8,100.0,ba-es
1705695201,930244803.0,916196486.0,12.7,8,100.0,ba-es
1705735535,919548401.0,925736432.0,10.68,8,100.0,ba-es
1705748487,830474600.0,925736432.0,9.47,8,100.0,ba-es
1705776572,885147375.0,931241742.0,25.77,8,100.0,ba-es
1705800026,811494183.0,920710074.0,12.78,10,100.0,rj-es
1705822170,890015103.0,927832288.0,17.7,10,100.0,rj-es
1705832412,879704814.0,927832288.0,16.09,10,100.0,rj-es
1705850599,937742829.0,919324518.0,17.24,10,100.0,rj-es
1705856004,933077639.0,919812430.0,16.13,10,100.0,rj-es
1705871152,910847227.0,917455608.0,22.62,8,100.0,ba-es
1705887260,875930633.0,921543782.0,21.81,8,100.0,ba-es
1705918355,893964854.0,926746364.0,12.1,8,100.0,ba-es
1705930182,936585273.0,926746364.0,13.43,8,100.0,ba-es
1705944622,858789111.0,927467141.0,9.79,10,100.0,rj-es
1705964998,927417077.0,917245662.0,11.15,10,100.0,rj-es
1705987384,927930650.0,927838179.0,9.74,10,100.0,rj-es
1706002380,866649840.0,926000012.0,10.12,10,100.0,rj-es
1706043850,822391248.0,938424780.0,18.5,10,100.0,rj-es
1706083840,927519848.0,915932418.0,10.12,10,100.0,rj-es
1706115399,792305253.0,917399417.0,10.52,10,100.0,rj-es
1706139621,853594829.0,927467512.0,25.52,7,10.0,mg-es
1706151351,918029160.0,927467512.0,5.17,7,10.0,mg-es
1706208401,937116869.0,916423293.0,17.03,8,100.0,ba-es
1706292763,900676696.0,913732233.0,16.21,9,100.0,ba-es
1706312237,924896923.0,918145915.0,17.64,8,100.0,ba-es
1706320037,786326591.0,918145915.0,17.22,8,100.0,ba-es
1706380873,883635702.0,922655376.0,22.19,8,100.0,ba-es
1706407337,876006015.0,922381953.0,22.73,8,100.0,ba-es
1706486552,890242492.0,926417915.0,17.06,10,100.0,rj-es
1706516265,937550036.0,925843419.0,17.21,10,100.0,rj-es
1706534465,765481123.0,926365161.0,17.19,10,100.0,rj-es
1706559947,919603175.0,917088650.0,17.9,10,100.0,rj-es
1706576953,933541611.0,930451727.0,7.34,10,100.0,rj-es
1706659014,812912120.0,929724326.0,12.85,7,10.0,mg-es
1706669045,897111574.0,929724326.0,15.68,7,10.0,mg-es
1706730047,912892045.0,927624752.0,8.32,8,100.0,ba-es
1706743284,894227222.0,927624752.0,15.36,8,100.0,ba-es
1706750534,842118290.0,936066275.0,15.54,8,100.0,ba-es
1706787859,913439624.0,926708532.0,13.1,8,100.0,ba-es
1706813571,892972099.0,912108758.0,-4.61,8,100.0,ba-es
1706827945,911323097.0,934964239.0,2.74,8,100.0,ba-es
1706834330,833305597.0,910376687.0,3.35,8,100.0,ba-es
1706886457,937585167.0,914786255.0,14.52,8,100.0,ba-es
1706892389,858217411.0,914786255.0,15.23,8,100.0,ba-es
1706913689,762158418.0,926421806.0,14.65,8,100.0,ba-es
1706926566,846079701.0,914462306.0,16.31,8,100.0,ba-es
1706954320,936876366.0,922592822.0,14.89,8,100.0,ba-es
1706967991,748045057.0,925686132.0,14.29,7,100.0,ba-es
1706985489,874408619.0,912743156.0,14.62,7,100.0,ba-es
1706995357,909799695.0,916922606.0,14.15,7,100.0,ba-es
1707014869,891606045.0,920548414.0,13.69,7,100.0,ba-es
1707046455,903053352.0,926795158.0,12.46,7,100.0,ba-es
1707051978,933893295.0,919594748.0,16.85,7,100.0,ba-es
1707073838,937534520.0,921019492.0,16.02,7,100.0,ba-es
1707078301,715553056.0,925632685.0,16.39,7,100.0,ba-es
1707099825,841273997.0,926310139.0,16.46,7,100.0,ba-es
1707121076,936432295.0,913415055.0,16.81,7,100.0,ba-es
1707149020,939466312.0,933574027.0,35.9,11,100.0,rj-es
1707173173,138516931.0,916769080.0,12.91,6,10.0,mg-es
1707204211,936743121.0,928674445.0,9.57,9,100.0,rj-es
1707210407,889454414.0,914691721.0,10.98,9,100.0,rj-es
