Timestamp_cubic,Vazao_cubic,Vazao_bbr,Atraso(ms),Hop_count,Bottleneck,Link_bottleneck
1705435032,759953100.0,911544527.0,15.04,9,100.0,ba-es
1705441877,892040195.0,911544527.0,14.38,9,100.0,ba-es
1705456105,931976865.0,924583737.0,17.82,9,100.0,ba-es
1705489314,678482525.0,924058801.0,25.05,9,100.0,ba-es
1705497720,868327261.0,924058801.0,27.28,9,100.0,ba-es
1706252812,129918722.0,891239622.0,33.61,9,100.0,ba-es
1706403431,84825832.0,907856556.0,30.19,9,100.0,ba-es
1706439721,65536111.0,906390725.0,34.0,9,10.0,pa-ma
1706473038,104018874.0,920074621.0,32.19,9,100.0,ba-es
1706483089,129762110.0,920904693.0,31.33,9,100.0,ba-es
1706648888,81894461.0,918689237.0,38.55,9,100.0,ba-es
1706668809,66007987.0,918689237.0,34.76,9,100.0,ba-es
1706725806,234041414.0,924111183.0,13.96,9,100.0,ba-es
1706744030,31876747.0,924111183.0,23.06,9,100.0,ba-es
1706787388,71775167.0,899155043.0,22.57,9,10.0,pa-ma
1706806864,115920285.0,899155043.0,25.41,9,100.0,ba-es
1706830789,93854412.0,874462972.0,24.68,9,100.0,ba-es
1706841211,37539078.0,874462972.0,24.83,9,100.0,ba-es
1706875454,237503212.0,924008128.0,29.26,9,100.0,ba-es
1706888541,147402722.0,924008128.0,33.27,9,100.0,ba-es
1706917860,182233597.0,922119901.0,31.47,9,100.0,ba-es
1706949412,140561451.0,920755460.0,28.24,9,100.0,ba-es
1706950377,71355732.0,920755460.0,28.29,9,100.0,ba-es
1706979754,48444320.0,922170670.0,25.62,9,100.0,ba-es
1707005625,107636590.0,905611582.0,21.04,9,100.0,ba-es
1707028246,57671803.0,919288831.0,23.06,9,100.0,ba-es
1707038589,194459838.0,919288831.0,23.23,9,100.0,ba-es
1707057118,85198981.0,907130808.0,27.07,9,100.0,ba-es
1707089952,95098767.0,907841758.0,25.54,9,100.0,ba-es
1707099448,90178117.0,907841758.0,26.45,9,100.0,ba-es
1707166639,282277350.0,905916012.0,41.35,9,100.0,ba-es
1707182594,216321791.0,915730120.0,31.24,9,100.0,ba-es
1707220107,165675123.0,901447590.0,35.92,9,100.0,ba-es
1707231633,221931421.0,901447590.0,39.23,9,100.0,ba-es
1707263359,65483633.0,918080165.0,23.44,9,10.0,pa-ma
1707267218,101242442.0,918080165.0,25.95,9,10.0,pa-ma
1707330627,53896887.0,919497627.0,31.68,9,100.0,ba-es
1707341804,77699652.0,919497627.0,32.93,9,100.0,ba-es
1707354411,114347681.0,899466873.0,38.1,9,100.0,ba-es
1707390352,104857856.0,922067887.0,38.79,9,10.0,pa-ma
1707421836,164942126.0,919601565.0,46.3,9,10.0,pa-ma
1707432799,111359088.0,919601565.0,38.78,9,10.0,pa-ma
1707444509,127664428.0,909064326.0,42.08,9,10.0,pa-ma
1707481976,113613147.0,911476465.0,26.09,9,10.0,pa-ma
1707507367,80688044.0,909011261.0,28.83,9,100.0,ba-es
1707513132,81369745.0,876293911.0,28.05,9,100.0,ba-es
1707551302,55417341.0,911318586.0,24.99,9,100.0,ba-es
1707562834,107741534.0,911318586.0,23.96,9,100.0,ba-es
1707645488,195612067.0,907704806.0,27.75,9,100.0,ba-es
1707656729,79612095.0,876187586.0,28.97,9,100.0,ba-es
1707678354,83918628.0,876187586.0,30.77,9,100.0,ba-es
1707691353,102813097.0,908117791.0,19.89,9,100.0,ba-es
1707702360,87870949.0,917400931.0,21.82,9,100.0,ba-es
1707816292,57252558.0,903666863.0,21.5,9,10.0,pa-ma
1707866926,149527296.0,920490554.0,20.35,9,100.0,ba-es
1707914204,204368003.0,920733677.0,25.47,9,10.0,pa-ma
1707940032,86737415.0,921538417.0,31.51,9,100.0,ba-es
1708695562,927360707.0,913416060.0,22.52,8,100.0,ba-es
1708711315,923863496.0,911369556.0,27.71,8,100.0,ba-es
1708724486,905340925.0,914047903.0,28.19,8,100.0,ba-es
1708736619,920965912.0,924422151.0,29.58,8,100.0,ba-es
1708769905,875563674.0,936954054.0,32.52,8,100.0,ba-es
1708789246,837398781.0,913086375.0,30.08,8,100.0,ba-es
1708802803,822191401.0,913086375.0,24.71,8,100.0,ba-es
1708815679,686201555.0,922079597.0,25.21,8,100.0,ba-es
1708839948,937360846.0,913049241.0,25.51,8,100.0,ba-es
1708856633,805675182.0,904818401.0,24.79,8,100.0,ba-es
1708877999,919022686.0,904818401.0,38.43,8,100.0,ba-es
1708892104,928621598.0,938371272.0,35.5,8,100.0,ba-es
1708899869,616352849.0,938371272.0,19.35,8,100.0,ba-es
1708909594,623431141.0,906861316.0,21.97,8,100.0,ba-es
1708943204,916305055.0,913475569.0,38.09,8,100.0,ba-es
1708963716,930718477.0,913364499.0,33.56,8,100.0,ba-es
1708969805,917089705.0,913364499.0,27.44,8,100.0,ba-es
1708991847,871995104.0,920240359.0,34.27,8,100.0,ba-es
1709027923,893505215.0,925422692.0,34.19,8,100.0,ba-es
1709051741,923485777.0,901773962.0,36.38,8,100.0,ba-es
1709058294,921432012.0,670359094.0,36.09,8,100.0,ba-es
1709136800,933654217.0,912457862.0,42.08,8,100.0,ba-es
1709149397,937728998.0,902718454.0,29.15,8,100.0,ba-es
1709163662,829529966.0,902718454.0,27.94,8,100.0,ba-es
1709171747,937009715.0,902718454.0,30.02,8,100.0,ba-es
1709199407,924321315.0,924055613.0,29.12,8,100.0,ba-es
1709219550,497504743.0,937787615.0,57.51,8,100.0,ba-es
1709237075,718506800.0,923428269.0,46.82,8,100.0,ba-es
1709252597,719586287.0,925425375.0,34.3,8,100.0,ba-es
1709279917,937377327.0,924425757.0,21.76,8,100.0,ba-es
1709296735,877450897.0,924425757.0,25.77,8,100.0,ba-es
1709339741,843248944.0,907059060.0,26.3,8,100.0,ba-es
1709363596,864818244.0,907059060.0,24.73,8,100.0,ba-es
1709388501,796447573.0,924059078.0,25.16,8,100.0,ba-es
1709401892,777363177.0,924059078.0,24.62,8,100.0,ba-es
1709423213,904481306.0,906390816.0,46.52,8,100.0,ba-es
1709449524,933075493.0,921923599.0,32.96,8,100.0,ba-es
1709461849,918976739.0,911325056.0,24.87,8,100.0,ba-es
1709493738,582013651.0,911325056.0,26.85,8,100.0,ba-es
1709507609,681417863.0,914256660.0,29.74,8,100.0,ba-es
1709520719,890537474.0,914256660.0,28.85,8,100.0,ba-es
1709560125,898953374.0,925370217.0,24.02,8,100.0,ba-es
1709574450,760743485.0,922009834.0,29.65,8,100.0,ba-es
1709592269,814430282.0,937692323.0,41.7,8,100.0,ba-es
1709649313,915092275.0,910689667.0,41.61,8,100.0,ba-es
1709655596,911115795.0,910689667.0,47.91,8,100.0,ba-es
1709673235,773326655.0,904412645.0,48.69,8,100.0,ba-es
1709725968,918500790.0,895958585.0,28.0,8,100.0,ba-es
1709729517,783915064.0,907334264.0,29.18,8,100.0,ba-es
1709754318,245366477.0,925532594.0,30.11,8,100.0,ba-es
1709768380,925956564.0,925532594.0,27.82,8,100.0,ba-es
1709803175,753349351.0,924160378.0,24.71,8,100.0,ba-es
1709810835,769555928.0,924160378.0,29.21,8,100.0,ba-es
1709833242,925529308.0,924846020.0,29.4,8,100.0,ba-es
1709840755,937549240.0,924846020.0,29.85,8,100.0,ba-es
1709866425,746177587.0,935745713.0,28.41,8,100.0,ba-es
1709915183,885197281.0,917871919.0,29.34,8,100.0,ba-es
1709952587,937482935.0,924112061.0,43.32,8,10.0,pa-ma
1709973570,906285097.0,924112061.0,32.54,8,10.0,pa-ma
1709986700,679902729.0,922749233.0,25.08,8,10.0,pa-ma
1709992955,915723252.0,922749233.0,41.88,8,100.0,ba-es
1710017640,937897865.0,911529076.0,23.53,8,100.0,ba-es
1710033488,903979584.0,926120984.0,27.92,8,100.0,ba-es
1710062800,929713216.0,925525791.0,29.24,8,100.0,ba-es
1710075605,761267089.0,925525791.0,27.59,8,100.0,ba-es
1710109581,745380659.0,925479563.0,40.85,8,100.0,ba-es
1710191436,910794570.0,925684512.0,29.62,8,100.0,ba-es
1710236635,875913158.0,925632454.0,28.48,8,100.0,ba-es
