Timestamp_cubic,Vazao_cubic,Vazao_bbr,Atraso(ms),Hop_count,Bottleneck,Link_bottleneck
1705516020,933333717.0,926628742.0,35.78,8,100.0,ba-es
1705571513,936905935.0,916827605.0,31.98,8,100.0,ba-es
1705586308,890008465.0,916827605.0,7.3,6,100.0,rj-es
1705618149,934967419.0,873990674.0,42.32,8,100.0,ba-es
1705625532,904555850.0,925213439.0,42.41,8,100.0,ba-es
1705653749,916928979.0,913153870.0,43.44,8,100.0,ba-es
1705668978,849137609.0,913153870.0,34.74,8,100.0,ba-es
1705688613,924636443.0,872991505.0,5.14,6,100.0,rj-es
1705708994,898472794.0,915987503.0,4.84,6,100.0,rj-es
1705714859,919863387.0,915987503.0,5.05,6,100.0,rj-es
1705744594,932762646.0,927729657.0,5.63,6,100.0,rj-es
1705784858,867481633.0,909355460.0,9.87,6,100.0,rj-es
1705838827,929457766.0,910428752.0,41.14,8,100.0,ba-es
1705875557,904926291.0,911527709.0,41.95,8,100.0,ba-es
1705887204,925580117.0,911527709.0,41.96,8,100.0,ba-es
1705907837,830266586.0,926459327.0,42.6,8,100.0,ba-es
1705923870,928949559.0,926459327.0,7.63,6,100.0,rj-es
1705944034,635797838.0,916195112.0,9.17,6,100.0,rj-es
1705965121,906131435.0,916195112.0,8.34,6,100.0,rj-es
1705968003,923535574.0,915010156.0,7.57,6,100.0,rj-es
1706011202,918239701.0,916663672.0,7.93,6,100.0,rj-es
1706025813,880224074.0,916663672.0,8.0,6,100.0,rj-es
1706043919,575775874.0,915565919.0,8.69,6,100.0,rj-es
1706057887,937272235.0,915565919.0,7.28,6,100.0,rj-es
1706107273,881853871.0,913472280.0,8.94,7,100.0,rj-es
1706122737,934754009.0,917344833.0,8.9,7,100.0,rj-es
1706129589,897793240.0,917344833.0,9.67,7,100.0,rj-es
1706146088,935308887.0,916561243.0,8.9,7,100.0,rj-es
1706172400,929040240.0,926312501.0,9.16,7,100.0,rj-es
1706194649,769512860.0,926312501.0,9.82,7,100.0,rj-es
1706225412,815529453.0,927261320.0,8.69,7,100.0,rj-es
1706252887,931711179.0,926524764.0,9.69,7,100.0,rj-es
1706288831,938003520.0,830877706.0,7.99,6,100.0,rj-es
1706298630,609276607.0,830877706.0,8.37,6,100.0,rj-es
1706381124,660987216.0,923063898.0,42.04,8,100.0,ba-es
1706402472,890581352.0,926627306.0,41.51,8,100.0,ba-es
1706424363,872323509.0,923163540.0,41.55,8,100.0,ba-es
1706468602,821610410.0,909794509.0,41.85,8,100.0,ba-es
1706490712,833585421.0,828798075.0,41.91,8,100.0,ba-es
1706558228,638374409.0,924532602.0,41.68,8,100.0,ba-es
1706628687,937256420.0,925682744.0,8.12,6,100.0,rj-es
1706653095,812389333.0,843003138.0,44.17,8,100.0,ba-es
1706668373,937953295.0,843003138.0,41.43,8,100.0,ba-es
1706739680,940465877.0,926785287.0,8.77,6,100.0,rj-es
1706839690,907806124.0,916982142.0,7.57,6,100.0,rj-es
1706903435,482414369.0,927572834.0,7.6,6,100.0,rj-es
1706913161,936538323.0,927572834.0,7.55,6,100.0,rj-es
1706996792,939785159.0,916826138.0,5.67,6,100.0,rj-es
1707035802,925844252.0,916143370.0,7.85,6,100.0,rj-es
1707048615,697934663.0,916143370.0,7.22,6,100.0,rj-es
1707067565,942147985.0,916141492.0,8.36,6,100.0,rj-es
1707084702,938006099.0,905807092.0,7.57,6,100.0,rj-es
1707148841,823289775.0,915734973.0,7.71,6,100.0,rj-es
1707163532,760123022.0,915734973.0,8.64,6,100.0,rj-es
1707168319,569797394.0,925626715.0,7.57,7,100.0,rj-es
1707211097,932833580.0,913916069.0,7.74,6,100.0,rj-es
1707227477,845211826.0,913916069.0,11.34,6,100.0,rj-es
1707240866,898493971.0,925803324.0,10.36,6,100.0,rj-es
1707266522,920857693.0,817701560.0,7.77,6,100.0,rj-es
1707270418,927886479.0,817701560.0,8.18,6,100.0,rj-es
1707331880,923640894.0,916929254.0,8.42,7,100.0,rj-es
1707352201,923348527.0,917243323.0,8.38,7,100.0,rj-es
1707380332,925688493.0,917034249.0,8.6,7,100.0,rj-es
1707388435,930916799.0,917034249.0,8.07,7,100.0,rj-es
1707405406,789580807.0,926207412.0,8.16,6,100.0,rj-es
1707421960,798335852.0,926207412.0,44.77,8,100.0,ba-es
1707439384,938373242.0,938004645.0,41.54,8,100.0,ba-es
1707466042,935489463.0,914990299.0,8.05,6,100.0,rj-es
1707493624,914253962.0,915933059.0,8.19,6,100.0,rj-es
