Timestamp_cubic,Vazao_cubic,Vazao_bbr,Atraso(ms),Hop_count,Bottleneck,Link_bottleneck
1705423870,234514526.0,648330488.0,47.92,11,1.0,rr-am
1705477238,134427624.0,255066928.0,31.39,9,1.0,rr-ce
1705774787,840316586.0,847096907.0,41.31,9,1.0,rr-am
1705783145,646133758.0,847096907.0,38.21,9,1.0,rr-am
1706104542,281071668.0,869851874.0,49.84,11,1.0,rr-am
1706185301,3407869.0,266181310.0,39.66,9,1.0,rr-ce
1706578223,11114937.0,245577727.0,39.62,9,1.0,rr-ce
1706626477,54683410.0,593077580.0,34.71,9,1.0,rr-am
1706633819,651113918.0,648279810.0,24.83,9,1.0,rr-am
1706663586,27158184.0,648287460.0,32.41,9,1.0,rr-ce
1706749080,29832022.0,243793968.0,38.26,9,1.0,rr-ce
1706771955,361068982.0,677381857.0,40.28,9,1.0,rr-ce
1706869221,121582198.0,263560895.0,36.67,9,1.0,rr-ce
1706883162,16515104.0,268595482.0,22.72,9,1.0,rr-ce
1706894671,574515336.0,620338864.0,48.02,13,1.0,rr-am
1706909180,573938561.0,620338864.0,42.5,11,1.0,rr-am
1706926059,867068925.0,876400083.0,49.05,11,1.0,rr-am
1706956176,67790668.0,257163765.0,40.74,9,1.0,rr-ce
1706972699,65227271.0,257163765.0,34.37,10,1.0,rr-ce
1706973460,45245986.0,257163765.0,33.31,9,1.0,rr-ce
1706988030,779617191.0,845623480.0,28.28,11,1.0,rr-am
1707031376,68786595.0,264451448.0,38.9,9,1.0,rr-ce
1707048329,109314211.0,668357563.0,34.75,9,1.0,rr-ce
1707064770,499060689.0,668357563.0,41.08,9,1.0,rr-ce
1707086764,125042988.0,266653236.0,32.12,9,1.0,rr-ce
1707117155,162686794.0,202218599.0,36.57,9,1.0,rr-ce
1707137416,2831165.0,202218599.0,29.49,9,100.0,pi-ma
1707152143,616301838.0,540082178.0,30.24,11,1.0,rr-am
1707175680,139563818.0,635698023.0,30.72,9,1.0,rr-ce
1707178635,55836965.0,635698023.0,36.31,9,1.0,rr-ce
1707227179,18979207.0,233569988.0,39.51,9,1.0,rr-ce
1707241885,56780376.0,233569988.0,34.67,9,1.0,rr-ce
1707272572,126878006.0,266600714.0,36.86,9,1.0,rr-ce
1707314199,119223013.0,637537427.0,34.52,9,1.0,rr-ce
1707352971,143752294.0,636855403.0,36.43,9,1.0,rr-ce
1707398272,4037023.0,159960676.0,32.22,9,1.0,rr-ce
1707415724,445697451.0,596273517.0,44.16,11,1.0,rr-am
1707426812,34334752.0,248617643.0,33.14,9,1.0,rr-ce
1707446910,52009515.0,227489507.0,95.5,15,1.0,rr-ce
1707472126,531568517.0,675024343.0,41.53,9,1.0,rr-ce
1707493870,80111282.0,529688192.0,32.81,9,1.0,rr-ce
1707507822,489686093.0,231317669.0,37.6,11,1.0,rr-am
1707514972,3617596.0,231317669.0,32.14,9,1.0,rr-ce
1707538753,103914333.0,254647038.0,59.84,11,1.0,rr-ce
1707580351,103809454.0,247045271.0,73.13,11,1.0,rr-ce
1707591957,23802710.0,233152225.0,69.92,11,1.0,rr-ce
1707672371,31981684.0,260990892.0,71.51,11,1.0,rr-ce
1707705552,21181293.0,246887638.0,69.03,11,1.0,rr-ce
1707737371,49545523.0,260467216.0,66.76,11,1.0,rr-ce
1707748877,154298351.0,261724700.0,73.42,11,1.0,rr-ce
1707754389,104111150.0,257373275.0,71.21,11,1.0,rr-ce
1707783020,57933824.0,261253063.0,65.68,11,1.0,rr-ce
1707786458,77699450.0,261253063.0,65.37,11,1.0,rr-ce
1707838945,39531419.0,255694707.0,59.03,11,1.0,rr-ce
1707850516,144913398.0,255694707.0,63.27,11,1.0,rr-ce
1707908750,109681142.0,252707005.0,70.96,11,1.0,rr-ce
1707918422,69625578.0,252707005.0,66.71,11,1.0,rr-ce
1707930474,75497592.0,261929740.0,63.18,11,1.0,rr-ce
1707948465,58562785.0,261929740.0,33.12,9,1.0,rr-ce
1707950429,78539245.0,261929740.0,31.79,9,1.0,rr-ce
1707987116,96888548.0,251239487.0,34.0,9,1.0,rr-ce
1708004469,2726011.0,107688916.0,41.58,9,1.0,rr-ce
1708015244,9856624.0,228277175.0,38.19,9,1.0,rr-ce
1708035433,827114846.0,777526296.0,31.88,11,1.0,rr-am
1708098866,671877423.0,661286768.0,24.3,11,1.0,rr-am
1708118443,16515078.0,661286768.0,61.57,11,1.0,rr-am
1708148492,710151575.0,886362001.0,52.54,11,1.0,rr-am
1708222292,684719682.0,903610187.0,59.67,10,1.0,rr-ce
1708295893,794884541.0,866285133.0,64.41,10,1.0,rr-ce
1709278304,387554910.0,649017640.0,41.66,11,1.0,rr-am
1709300537,42362576.0,649017640.0,47.11,11,1.0,rr-am
1709386642,479750114.0,839177177.0,33.27,11,1.0,rr-am
1709409160,23225950.0,241854247.0,38.32,9,1.0,rr-ce
1709669534,163473725.0,166879894.0,38.87,9,1.0,rr-ce
1709727701,609748925.0,573991162.0,42.87,11,1.0,rr-am
1709734353,376388481.0,524393591.0,60.3,12,1.0,rr-am
1709744603,547672942.0,499857503.0,35.14,11,1.0,rr-am
1709763607,520416283.0,686453882.0,36.03,11,1.0,rr-am
1709772672,501116925.0,686453882.0,34.52,11,1.0,rr-am
1709807105,719849331.0,899681986.0,32.74,11,1.0,rr-am
1709823541,347970432.0,477259557.0,42.79,11,1.0,rr-am
1709832620,190499576.0,423195820.0,39.25,11,1.0,rr-am
1709852978,269004331.0,423195820.0,42.6,11,1.0,rr-am
1709928916,57828798.0,584793993.0,44.12,11,1.0,rr-am
1709950233,602987126.0,745538020.0,36.23,9,1.0,rr-am
1709996927,599941858.0,252889694.0,35.69,9,1.0,rr-ce
1710013424,926246579.0,834671337.0,35.64,9,1.0,rr-ce
1710023677,818926449.0,886759022.0,27.16,9,1.0,rr-ce
1710035657,909889916.0,886759022.0,41.05,9,1.0,rr-ce
1710071998,43045286.0,886940714.0,43.79,9,1.0,rr-ce
1710088021,806723881.0,886940714.0,38.82,11,1.0,rr-am
1710115130,911961859.0,859091358.0,27.07,9,1.0,rr-ce
1710125854,820001520.0,859091358.0,35.75,9,1.0,rr-ce
1710146525,629985941.0,463997292.0,47.58,9,1.0,rr-ce
1710170677,11691440.0,463997292.0,45.66,9,1.0,rr-ce
1710180644,24327039.0,628096552.0,41.85,10,1.0,rr-ce
1710189701,467928186.0,628096552.0,49.08,9,1.0,rr-ce
1710270444,127297374.0,591857300.0,45.91,11,1.0,rr-am
1710283601,457336834.0,549062087.0,42.88,11,1.0,rr-am
1710298637,57881881.0,549062087.0,40.54,9,1.0,rr-ce
1710344299,239390690.0,570008649.0,44.06,11,1.0,rr-am
1710353194,383004755.0,646467176.0,40.35,11,1.0,rr-am
1710400352,847518794.0,898703370.0,27.77,9,1.0,rr-ce
1710408847,887569196.0,888984421.0,38.6,11,1.0,rr-am
1710447410,91436256.0,436107402.0,50.25,11,1.0,rr-am
1710471387,64382801.0,788372811.0,41.9,9,1.0,rr-ce
1710490569,870566207.0,640159488.0,50.06,11,1.0,rr-am
1710513384,43096514.0,487686769.0,49.08,11,1.0,rr-am
1710529358,31142574.0,651168137.0,25.15,9,1.0,rr-ce
1710593040,850921168.0,879116513.0,22.85,9,1.0,rr-ce
1710617850,867856790.0,879116513.0,38.78,11,1.0,rr-am
1710634976,683149415.0,823395909.0,38.15,9,1.0,rr-ce
1710671228,796183199.0,882010804.0,41.75,11,1.0,rr-am
1710691664,916193921.0,883270585.0,44.14,9,1.0,rr-ce
1710709329,894071500.0,865705427.0,34.0,9,1.0,rr-ce
1710721323,917505146.0,869955776.0,33.26,9,1.0,rr-ce
1710722528,757755204.0,869955776.0,37.03,9,1.0,rr-ce
1710756652,917452672.0,868180480.0,21.71,9,1.0,rr-ce
1710772422,124780275.0,565604976.0,39.85,11,1.0,rr-am
1710788208,279169945.0,274622837.0,37.57,9,1.0,rr-ce
1710961323,36175964.0,700868829.0,36.17,9,1.0,rr-ce
1710988058,825393655.0,700868829.0,34.91,11,1.0,rr-am
1711030939,490839112.0,570823825.0,40.73,11,1.0,rr-am
1711054893,377385955.0,593235134.0,41.81,11,1.0,rr-am
1711069678,842323627.0,774428244.0,35.09,9,1.0,rr-ce
1711101082,823085657.0,208507.0,43.33,9,1.0,rr-am
1711113883,364884.0,208507.0,57.74,9,100.0,pi-ma
1711151399,8493496.0,251710744.0,34.94,9,1.0,rr-ce
1711179507,860089733.0,857111250.0,34.53,11,1.0,rr-am
1711206029,45455792.0,857111250.0,39.68,9,1.0,rr-ce
1711217153,585001866.0,857111250.0,37.04,9,1.0,rr-ce
1711285828,819828243.0,869325888.0,55.96,11,1.0,rr-am
1711313606,93113637.0,901195443.0,45.04,9,1.0,rr-ce
1711319067,926419953.0,901195443.0,27.97,9,1.0,rr-ce
