Timestamp_cubic,Vazao_cubic,Vazao_bbr,Atraso(ms),Hop_count,Bottleneck,Link_bottleneck
1705426771,868329997.0,914423053.0,31.17,8,10.0,go-ms
1705453677,870794772.0,917662112.0,34.64,8,10.0,go-ms
1705625224,855320877.0,924345967.0,46.28,8,10.0,go-ms
1705709606,698090972.0,924581379.0,29.33,8,10.0,go-ms
1705748526,882436457.0,926262203.0,42.85,8,10.0,go-ms
1705779446,14889635.0,925265127.0,35.51,7,10.0,go-ms
1705799771,14103374.0,925265127.0,34.38,7,10.0,go-ms
1705871269,358874687.0,908865381.0,36.21,6,10.0,pr-ms
1705878129,910638695.0,924218490.0,36.22,6,10.0,pr-ms
1705886870,511758054.0,924218490.0,27.04,7,40.0,pb-ba
1705970870,748580717.0,925519868.0,25.2,8,10.0,go-ms
1706027277,362231412.0,873565535.0,23.21,8,10.0,go-ms
1706043114,185178928.0,803789509.0,24.9,8,10.0,go-ms
1706115175,210239603.0,855168765.0,32.32,8,10.0,go-ms
1706126538,27053259.0,855168765.0,33.33,7,10.0,go-ms
1706134520,17827028.0,855168765.0,34.02,7,10.0,go-ms
1706221328,156395524.0,831208439.0,40.72,8,10.0,go-ms
1706234837,132647443.0,847042403.0,41.4,8,10.0,go-ms
1706578034,87238212.0,909535368.0,29.97,8,10.0,go-ms
1706612638,188108731.0,831715731.0,29.72,8,10.0,go-ms
1706621124,107739083.0,851652277.0,32.29,7,40.0,pb-ba
1706625888,60500753.0,851652277.0,37.04,8,10.0,go-ms
1706642212,147849807.0,796022768.0,28.23,7,10.0,go-ms
1706655888,532049271.0,911475098.0,25.18,8,10.0,go-ms
1706686385,782445846.0,916045016.0,24.49,8,10.0,go-ms
1706699447,765673564.0,918920312.0,24.3,8,10.0,go-ms
1706710392,919176584.0,917191766.0,20.25,8,10.0,go-ms
1706721856,870004333.0,917191766.0,24.06,8,10.0,go-ms
1706736028,921959756.0,912524085.0,26.22,8,10.0,go-ms
1706810662,566758303.0,908563270.0,25.26,8,10.0,go-ms
1706825383,912892547.0,897641762.0,24.6,8,10.0,go-ms
1706841804,485231625.0,897641762.0,30.98,8,10.0,go-ms
1706882825,562354486.0,922624238.0,46.56,8,10.0,go-ms
1706922271,857263866.0,923217031.0,37.52,7,40.0,pb-ba
1706949569,875196759.0,933389133.0,37.08,8,10.0,go-ms
1706964347,529011696.0,919708630.0,24.02,8,10.0,go-ms
1706994208,647811839.0,924734412.0,42.45,8,10.0,go-ms
1707002227,854484026.0,924734412.0,25.21,8,10.0,go-ms
1707027192,916790028.0,923593472.0,32.08,8,10.0,go-ms
1707050814,877359055.0,923593472.0,31.24,8,10.0,go-ms
1707055614,765244566.0,923593472.0,30.85,7,10.0,go-ms
1707101914,764517258.0,924426358.0,31.59,8,10.0,go-ms
1707136382,743183442.0,919878565.0,34.73,7,10.0,go-ms
1707159385,847146287.0,907754376.0,44.06,8,10.0,go-ms
1707176197,875508750.0,925425375.0,20.58,8,10.0,go-ms
1707219227,826542759.0,910901933.0,46.12,8,10.0,go-ms
1707254225,766302367.0,918453275.0,42.57,8,10.0,go-ms
1707322070,876789747.0,913886184.0,41.24,8,10.0,go-ms
1707350474,878600073.0,916984021.0,27.79,7,40.0,pb-ba
1707428583,749527146.0,911509991.0,30.74,7,10.0,go-ms
