Timestamp_cubic,Vazao_cubic,Vazao_bbr,Atraso(ms),Hop_count,Bottleneck,Link_bottleneck
1705404564,412352738.0,886155698.0,48.09,7,1.0,rr-am
1705432282,332505261.0,649279785.0,29.65,7,1.0,rr-am
1705488750,791519572.0,763354167.0,42.23,8,1.0,rr-am
1705512447,375705550.0,763354167.0,54.52,7,1.0,rr-am
1705525450,510716397.0,802529046.0,49.58,7,1.0,rr-am
1705843713,856593169.0,901672260.0,37.32,7,1.0,rr-am
1705965489,148846494.0,763025045.0,29.85,7,1.0,rr-am
1705996991,452198015.0,894437206.0,42.79,7,1.0,rr-am
1706094468,149107656.0,865497313.0,40.98,7,1.0,rr-am
1706099387,30723342.0,865497313.0,30.07,8,1.0,rr-am
1706136564,323119550.0,864501336.0,37.8,7,1.0,rr-am
1706148087,141610330.0,864501336.0,28.86,7,1.0,rr-am
1706172979,451987509.0,863152252.0,31.45,7,1.0,rr-am
1706187654,1258356.0,863152252.0,57.35,6,1.0,rr-ce
1706579831,55626984.0,643597992.0,57.01,6,1.0,rr-ce
1706636870,165360997.0,773810316.0,35.64,7,1.0,rr-am
1706656264,415394462.0,773810316.0,34.57,7,1.0,rr-am
1706690009,882850019.0,877084114.0,30.46,7,1.0,rr-am
1706696195,870480981.0,877084114.0,31.46,7,1.0,rr-am
1706735337,516843084.0,634913942.0,60.91,11,1.0,rr-am
1706751358,900736466.0,861057747.0,61.25,11,1.0,rr-am
1706791815,412197492.0,595435727.0,28.29,7,1.0,rr-am
1706799217,321278080.0,595435727.0,33.15,7,1.0,rr-am
1706814585,244685601.0,604463155.0,43.61,7,1.0,rr-am
1706829244,190692145.0,838398247.0,33.18,7,1.0,rr-am
1706842681,723153656.0,891503193.0,52.73,7,1.0,rr-am
1706875177,144651869.0,859926644.0,38.04,7,1.0,rr-am
1706890644,468870688.0,690228741.0,29.83,8,1.0,rr-am
1706904806,518834860.0,690228741.0,43.96,7,1.0,rr-am
1706931067,567122981.0,820959346.0,37.85,8,1.0,rr-am
1706955194,532678126.0,847677951.0,45.36,7,1.0,rr-am
1706974747,810970868.0,877919992.0,33.4,7,1.0,rr-am
1706989330,851739929.0,849558696.0,45.83,7,1.0,rr-am
1707004615,773167397.0,857368337.0,32.23,7,1.0,rr-am
1707056055,838812271.0,867936342.0,33.96,7,1.0,rr-am
1707066798,678428231.0,867936342.0,43.7,7,1.0,rr-am
1707084961,645727044.0,264519682.0,30.02,7,1.0,rr-am
1707100878,829845784.0,887038520.0,39.09,6,1.0,rr-ce
1707129737,651161753.0,635607340.0,39.9,7,1.0,rr-am
1707167906,513908176.0,769446761.0,42.23,7,1.0,rr-am
1707178601,246626505.0,872468489.0,67.12,6,1.0,rr-ce
1707233829,326422067.0,550922050.0,34.06,7,1.0,rr-am
1707250368,459172509.0,550922050.0,25.92,7,1.0,rr-am
1707264808,464835460.0,851496311.0,42.89,7,1.0,rr-am
1707292378,884999913.0,851496311.0,44.66,7,1.0,rr-am
1707352373,55941800.0,885958429.0,31.2,7,1.0,rr-am
1707385367,120219304.0,399403556.0,58.3,6,1.0,rr-ce
1707393360,574725224.0,399403556.0,29.88,7,1.0,rr-am
1707416513,298425699.0,676699130.0,44.22,7,1.0,rr-am
1707420200,24798801.0,676699130.0,64.42,7,1.0,rr-am
1707485890,496712090.0,607442020.0,41.92,7,1.0,rr-am
1707498497,278606921.0,607442020.0,48.91,7,1.0,rr-am
1707517603,662911238.0,806409227.0,30.26,7,1.0,rr-am
1707569068,568748930.0,885995575.0,36.19,7,1.0,rr-am
1707596256,76231940.0,241068466.0,63.87,6,1.0,rr-ce
1707631286,103494611.0,257426090.0,76.88,6,1.0,rr-ce
1707687927,545549406.0,876205614.0,25.69,7,1.0,rr-am
1707701292,19870530.0,876205614.0,31.37,7,1.0,rr-am
1707753385,215639902.0,676388784.0,49.72,7,1.0,rr-am
1707774718,814223701.0,872665333.0,46.2,7,1.0,rr-am
1707786092,161795737.0,872665333.0,27.74,7,1.0,rr-am
1707818723,900509575.0,674914626.0,46.55,7,1.0,rr-am
1707833419,168718327.0,674914626.0,34.17,7,1.0,rr-am
1707849428,662337401.0,880178435.0,50.28,7,1.0,rr-am
1707859466,789264339.0,872730415.0,42.35,7,1.0,rr-am
1707893264,702064688.0,899471056.0,30.95,7,1.0,rr-am
1707914222,869955029.0,899471056.0,37.46,7,1.0,rr-am
1707935487,810915357.0,781504630.0,35.11,8,1.0,rr-am
1707945407,780141987.0,781504630.0,29.78,7,1.0,rr-am
1707962862,772703651.0,898259322.0,34.58,7,1.0,rr-am
1708005259,1572865.0,88185470.0,74.65,6,1.0,rr-ce
1708017119,19451110.0,141716527.0,51.93,6,1.0,rr-ce
1708038230,414767741.0,795767178.0,12.09,7,1.0,rr-am
1708051326,780559935.0,795767178.0,21.78,7,1.0,rr-am
1708085640,709366523.0,677112040.0,30.83,7,1.0,rr-am
1708099070,282749055.0,677112040.0,26.88,7,1.0,rr-am
1708106198,766050028.0,665692600.0,51.92,10,1.0,rr-ce
1708125241,180678371.0,698875240.0,42.94,7,1.0,rr-am
1708132467,208931003.0,698875240.0,40.56,7,1.0,rr-am
1708157919,673133295.0,883901381.0,53.52,7,1.0,rr-am
1708177396,771857565.0,883901381.0,53.38,7,1.0,rr-am
1708209736,865504194.0,902408746.0,63.76,9,1.0,rr-ce
1708257053,691170667.0,872836364.0,63.61,9,1.0,rr-ce
1708275678,827796046.0,845569107.0,75.38,9,1.0,rr-ce
1708282052,798222293.0,845569107.0,66.46,9,1.0,rr-ce
1708304625,787794715.0,845048678.0,70.98,9,1.0,rr-ce
1708339280,837551964.0,911693135.0,66.01,9,1.0,rr-ce
1709640287,23016297.0,834144501.0,48.12,6,1.0,rr-ce
1709661868,13578311.0,595750688.0,57.74,6,1.0,rr-ce
1709666745,5297394.0,595750688.0,54.38,6,1.0,rr-ce
1709685707,524496833.0,595750688.0,25.1,7,1.0,rr-am
1709709121,838317029.0,847407923.0,27.17,7,1.0,rr-am
1709731240,519256678.0,660445626.0,34.46,10,1.0,rr-am
1709735989,519098768.0,660445626.0,46.49,10,1.0,rr-am
1709768640,440140216.0,846096651.0,30.63,7,1.0,rr-am
1709799954,832729128.0,874879910.0,15.2,7,1.0,rr-am
1709821639,78014292.0,448319229.0,27.25,7,1.0,rr-am
1709828763,36967926.0,448319229.0,25.81,7,1.0,rr-am
1709843632,194988566.0,365637061.0,34.66,7,1.0,rr-am
1709853555,352154336.0,881014348.0,47.64,7,1.0,rr-am
1709886462,843086129.0,906180783.0,55.0,8,1.0,rr-am
1709906752,163682770.0,519780942.0,40.64,7,1.0,rr-am
1709916233,401552400.0,519780942.0,42.63,7,1.0,rr-am
1709946759,532204775.0,874359425.0,36.26,7,1.0,rr-am
1709979311,732378932.0,792878918.0,40.05,7,1.0,rr-am
1709985982,759854511.0,792878918.0,34.38,7,1.0,rr-am
1710011489,855587041.0,799656674.0,44.31,7,1.0,rr-am
1710037490,811178718.0,799656674.0,48.15,7,1.0,rr-am
1710103326,809404839.0,265447346.0,52.86,7,1.0,rr-am
1710167100,521280.0,502531530.0,61.45,6,1.0,rr-ce
1710208474,539441946.0,738618522.0,38.56,7,1.0,rr-am
1710263767,309555809.0,597362666.0,39.2,7,1.0,rr-am
1710317006,887049120.0,829634948.0,49.28,8,1.0,rr-am
1710334567,178624850.0,572944132.0,32.31,8,1.0,rr-am
1710341436,162898236.0,572944132.0,46.55,8,1.0,rr-am
1710365499,5557449.0,680425082.0,41.41,9,1.0,rr-am
1710396961,784286379.0,879391823.0,35.64,7,1.0,rr-am
1710401695,451834041.0,879391823.0,24.59,7,1.0,rr-am
1710426456,258105420.0,520041137.0,48.23,7,1.0,rr-am
1710437126,298319857.0,512596915.0,44.71,7,1.0,rr-am
1710449553,367423969.0,512596915.0,39.48,8,1.0,rr-am
1710478231,757087354.0,776115523.0,51.53,9,1.0,rr-ce
1710511719,33291450.0,556454925.0,41.11,7,1.0,rr-am
1710536404,433217246.0,556454925.0,32.85,7,1.0,rr-am
1710541055,613309189.0,883849571.0,28.37,7,1.0,rr-am
1710555597,767035836.0,883849571.0,46.61,7,1.0,rr-am
1710574891,819503550.0,871738190.0,14.73,7,1.0,rr-am
1710592406,650748901.0,794357327.0,34.63,6,1.0,rr-ce
1710606788,872208525.0,872729717.0,30.43,7,1.0,rr-am
1710630562,860658429.0,869846916.0,35.54,7,1.0,rr-am
1710641653,719534686.0,869846916.0,95.76,6,1.0,rr-ce
1710644133,889339591.0,869846916.0,25.51,7,1.0,rr-am
1710675714,852598850.0,880129570.0,33.56,7,1.0,rr-am
1710712555,783031410.0,840132066.0,49.4,7,1.0,rr-am
1710729450,664064840.0,862147018.0,43.74,7,1.0,rr-am
1710755359,878607233.0,334288201.0,36.15,7,1.0,rr-am
1710774058,135109260.0,334288201.0,33.06,7,1.0,rr-am
1710800247,437992012.0,642828359.0,31.31,7,1.0,rr-am
1710813927,757006334.0,724008847.0,28.32,7,1.0,rr-am
1710831530,873266482.0,881120130.0,44.59,8,1.0,rr-am
1710857539,63019578.0,548250319.0,32.44,7,1.0,rr-am
1710898309,711355452.0,745747213.0,42.34,7,1.0,rr-am
1710942285,475791954.0,439510498.0,38.29,7,1.0,rr-am
1710946007,323590796.0,439510498.0,44.74,7,1.0,rr-am
1710969390,576087279.0,682622532.0,42.74,7,1.0,rr-am
1710985283,601673570.0,760060518.0,41.3,7,1.0,rr-am
1711027716,201327185.0,427818516.0,49.4,7,1.0,rr-am
1711049245,1258289.0,551081155.0,26.45,7,1.0,rr-am
1711075049,732431251.0,793141577.0,38.91,7,1.0,rr-am
1711113823,4351580.0,819566878.0,88.42,9,1.0,rr-ce
1711135350,165785642.0,792203129.0,55.43,11,1.0,rr-am
1711178111,862246286.0,890557556.0,24.23,7,1.0,rr-am
1711191929,859194324.0,890557556.0,38.15,7,1.0,rr-am
1711216913,821929297.0,867562647.0,41.93,7,1.0,rr-am
1711241783,803675489.0,870266773.0,65.73,6,1.0,rr-ce
1711265723,860934960.0,893073563.0,26.24,7,1.0,rr-am
1711286089,733848665.0,882951699.0,46.17,8,1.0,rr-am
1711319692,852465731.0,873306827.0,50.55,7,1.0,rr-am
1711328085,877399960.0,873306827.0,43.4,7,1.0,rr-am
1711361661,764845171.0,889561273.0,45.32,7,1.0,rr-am
1711365559,506565216.0,495924812.0,44.53,7,1.0,rr-am
1711387332,112931776.0,492727069.0,37.03,7,1.0,rr-am
1711397817,142396877.0,492727069.0,54.59,7,1.0,rr-am
1711441635,815181853.0,899153155.0,63.7,6,1.0,rr-ce
1711455683,269536716.0,899153155.0,43.72,7,1.0,rr-am
1711472207,365796743.0,546782634.0,26.38,7,1.0,rr-am
1711492487,311689792.0,538917198.0,19.65,7,1.0,rr-am
1711507934,640263931.0,833199322.0,43.91,7,1.0,rr-am
1711557523,428657590.0,634021288.0,44.26,7,1.0,rr-am
1711558181,84620413.0,634021288.0,44.01,7,1.0,rr-am
1711577139,612024752.0,789617208.0,48.47,7,1.0,rr-am
1711583597,750885461.0,789617208.0,51.19,6,1.0,rr-ce
1711612012,896348034.0,876924503.0,41.0,7,1.0,rr-am
1711630794,732470443.0,806198584.0,40.22,7,1.0,rr-am
1711646412,596403697.0,806198584.0,39.18,7,1.0,rr-am
1711652727,819514859.0,847862286.0,40.99,7,1.0,rr-am
1711675863,727560779.0,867013418.0,40.31,7,1.0,rr-am
1711695989,719106505.0,867013418.0,35.5,7,1.0,rr-am
1711699926,720679619.0,867013418.0,35.84,7,1.0,rr-am
1711740285,822293833.0,869534387.0,21.57,7,1.0,rr-am
1711749660,814704448.0,869534387.0,22.97,7,1.0,rr-am
1711783342,865914796.0,878656280.0,32.13,7,1.0,rr-am
1711803248,855063479.0,878656280.0,37.47,7,1.0,rr-am
1711817435,580231908.0,841273534.0,21.98,7,1.0,rr-am
1711829740,786747359.0,841273534.0,20.26,7,1.0,rr-am
1711902226,816004454.0,869692195.0,49.09,7,1.0,rr-am
1711915458,839080710.0,875406868.0,36.4,7,1.0,rr-am
1711917405,906495447.0,875406868.0,39.94,6,1.0,rr-ce
1711939762,905281797.0,881380160.0,33.88,7,1.0,rr-am
1711986570,94896341.0,479314378.0,58.77,10,1.0,rr-am
1712008452,311845816.0,617403277.0,56.0,8,1.0,rr-am
1712054557,735733828.0,601306779.0,63.93,6,1.0,rr-ce
1712073629,3879861.0,601306779.0,30.58,8,1.0,rr-am
1712087765,18718755.0,400032504.0,43.58,7,1.0,rr-am
1712097606,219572121.0,695953590.0,53.1,8,1.0,rr-am
1712224891,822558445.0,892206777.0,37.94,7,1.0,rr-am
1712240637,512710284.0,519361796.0,94.66,7,1.0,rr-am
1712260330,248303454.0,565409169.0,79.15,6,1.0,rr-ce
1712278376,758487373.0,682493958.0,20.17,7,1.0,rr-am
1712340901,130075865.0,592755330.0,39.8,7,1.0,rr-am
1712352424,14417946.0,592755330.0,58.06,7,1.0,rr-am
1712356805,242640377.0,690540449.0,40.4,7,1.0,rr-am
1712414560,759221984.0,813407037.0,41.78,8,1.0,rr-am
1712441467,847542368.0,890866206.0,28.11,7,1.0,rr-am
1712495610,802895004.0,900575981.0,39.33,7,1.0,rr-am
1712513603,907381158.0,871550191.0,30.49,7,1.0,rr-am
1712536159,846361546.0,869497170.0,45.41,7,1.0,rr-am
1712545170,833935828.0,869497170.0,36.49,7,1.0,rr-am
1712599905,163526351.0,516214893.0,24.36,7,1.0,rr-am
1712688048,367002.0,552077113.0,59.72,8,1.0,rr-ce
1712701982,479567744.0,676485322.0,21.56,8,1.0,rr-am
1712717963,851971109.0,676485322.0,54.89,7,1.0,rr-ce
1713021764,616249193.0,785699803.0,51.08,10,1.0,rr-am
1713038171,700923360.0,809240591.0,51.13,10,1.0,rr-am
1713054871,692745671.0,865964800.0,50.24,10,1.0,rr-am
1713060213,807719829.0,865964800.0,45.52,10,1.0,rr-am
1713102904,848866679.0,859100378.0,60.58,10,1.0,rr-am
1713121307,866970786.0,853821877.0,66.57,12,1.0,rr-am
1713137265,757755416.0,884162377.0,42.32,10,1.0,rr-am
1713139582,822031525.0,862088913.0,42.39,10,1.0,rr-am
1713205938,44089818.0,176161331.0,44.87,10,1.0,rr-am
1713213564,2411727.0,642620090.0,24.3,10,1.0,rr-am
1713273041,29360211.0,397305903.0,57.27,10,1.0,rr-am
1713291907,110468945.0,461269597.0,53.91,10,1.0,rr-am
1713302466,327745790.0,412615243.0,33.33,7,1.0,rr-am
1713356426,8283765.0,523090350.0,40.4,7,1.0,rr-am
1713374147,164889433.0,523090350.0,39.86,6,1.0,rr-ce
1713395596,519045794.0,596328331.0,52.96,7,1.0,rr-am
1713398261,389601919.0,596328331.0,32.94,7,1.0,rr-am
1713527554,398224977.0,610612923.0,36.25,10,1.0,rr-am
1713623403,759880537.0,794696725.0,25.02,7,1.0,rr-am
1713641915,836606194.0,835588911.0,34.42,7,1.0,rr-am
1713667644,784248429.0,865757510.0,20.22,7,1.0,rr-am
1713697967,824306324.0,878237770.0,43.3,8,1.0,rr-am
1713706075,859908578.0,878237770.0,59.85,6,1.0,rr-ce
1713727132,792832951.0,842453927.0,29.52,7,1.0,rr-am
1713741124,847825573.0,834877964.0,47.23,7,1.0,rr-am
1713752895,901229660.0,834877964.0,57.31,7,1.0,rr-am
1713817504,306185432.0,618612019.0,37.77,7,1.0,rr-am
1713839534,867908828.0,829056324.0,38.15,6,1.0,rr-ce
1713877588,109645846.0,823708959.0,23.22,7,1.0,rr-am
1713887746,122579036.0,539177779.0,26.37,7,1.0,rr-am
1713907126,461425615.0,511076172.0,40.41,7,1.0,rr-am
1713925281,821025136.0,760792871.0,37.9,7,1.0,rr-am
1714010371,684930219.0,777205502.0,32.07,7,1.0,rr-am
1714049010,432223610.0,671939303.0,65.75,6,1.0,rr-ce
1714085206,794298742.0,769693512.0,63.3,6,1.0,rr-ce
1714095246,820985165.0,769693512.0,53.14,7,1.0,rr-am
1714228395,575110428.0,822224496.0,46.12,7,1.0,rr-am
1714242128,704122586.0,822224496.0,30.75,7,1.0,rr-am
1714252815,566965638.0,826338910.0,32.59,7,1.0,rr-am
1714263215,837082992.0,826338910.0,20.18,7,1.0,rr-am
1714319048,692009599.0,827959749.0,36.92,7,1.0,rr-am
1714345778,882274316.0,827381085.0,45.05,7,1.0,rr-am
1714404470,8755625.0,65012076.0,48.4,7,1.0,rr-am
1714430322,213174093.0,65012076.0,58.34,6,1.0,rr-ce
1714444954,792778699.0,840803272.0,33.07,7,1.0,rr-am
1714651537,50489027.0,526331012.0,35.18,7,1.0,rr-am
1714676733,138149957.0,650015057.0,32.17,8,1.0,rr-am
1714688001,395737667.0,729567847.0,32.67,8,1.0,rr-am
1714832655,851813694.0,818941827.0,33.22,7,1.0,rr-am
1714849876,853570612.0,844528093.0,31.21,10,1.0,rr-am
1714868299,430966352.0,817038697.0,33.67,10,1.0,rr-am
1715007823,397506319.0,556587090.0,47.16,6,1.0,rr-ce
1715016738,2202010.0,571686150.0,45.51,7,1.0,rr-am
1715303739,651480985.0,819888543.0,29.63,7,1.0,rr-am
1715356082,56465834.0,674361369.0,61.7,7,1.0,rr-am
1715373176,423521180.0,575829426.0,28.64,7,1.0,rr-am
1715383738,755346253.0,759006673.0,29.09,7,1.0,rr-am
1715395074,801843982.0,852022473.0,29.56,7,1.0,rr-am
1715441234,812493135.0,798336810.0,51.21,6,1.0,rr-ce
1715458783,831100049.0,854680208.0,29.58,7,1.0,rr-am
1715473774,366058632.0,854680208.0,29.84,6,1.0,rr-ce
1715515675,748682702.0,845233810.0,49.06,6,1.0,rr-ce
1715567913,901991028.0,897901150.0,34.01,8,1.0,rr-am
1715713309,323853944.0,190473954.0,33.83,7,1.0,rr-am
1715753527,808086872.0,869584337.0,53.23,6,1.0,rr-ce
1715790721,124833865.0,613730581.0,28.96,7,1.0,rr-am
1715804264,112512913.0,704539341.0,47.05,10,1.0,rr-am
1715818453,606447841.0,776208655.0,31.44,7,1.0,rr-am
1715895820,418959462.0,410255442.0,53.13,6,1.0,rr-ce
1715981319,267439763.0,522136852.0,29.84,7,1.0,rr-am
1716141781,486645411.0,838465500.0,30.13,7,10.0,go-ms
1716156187,724934902.0,885416866.0,31.71,8,1.0,rr-am
1716165727,840331151.0,885416866.0,31.99,8,1.0,rr-am
1716203852,408735108.0,585839323.0,36.55,8,1.0,rr-am
1716223906,286628708.0,585839323.0,31.12,8,1.0,rr-am
1716406888,29045624.0,613575166.0,55.59,6,1.0,rr-ce
1716431647,888932348.0,901728206.0,41.36,7,1.0,rr-am
1716494328,286838638.0,740137850.0,32.48,7,1.0,rr-am
1716506316,537553534.0,740137850.0,78.85,6,1.0,rr-ce
1716525489,507406484.0,872992210.0,33.49,7,1.0,rr-am
1716557668,238289789.0,881316000.0,32.94,7,1.0,rr-am
1716581781,1992298.0,116339867.0,21.76,6,1.0,rr-ce
1716582418,296170927.0,116339867.0,8.27,10,1.0,rr-am
1716603234,834774692.0,761155571.0,30.64,7,1.0,rr-am
1716654301,724566994.0,835402378.0,54.67,6,1.0,rr-ce
1716656960,508087653.0,835402378.0,55.11,6,1.0,rr-ce
1716671587,650905504.0,835402378.0,53.29,6,1.0,rr-ce
1716687419,794462822.0,889329724.0,29.6,7,1.0,rr-am
1716718449,867758950.0,911492388.0,52.34,6,1.0,rr-ce
1716729285,861983495.0,911492388.0,28.65,7,1.0,rr-am
1716744148,797075484.0,857685355.0,36.17,10,1.0,rr-am
1716774250,766826159.0,873780521.0,52.55,6,1.0,rr-ce
1716799435,837394175.0,616774068.0,54.75,6,1.0,rr-ce
1716834857,191050747.0,692848046.0,39.81,10,1.0,rr-am
1716863576,811337018.0,692848046.0,48.93,6,1.0,rr-ce
1716897618,43620774.0,657250065.0,48.64,7,1.0,rr-am
1716918447,353032465.0,657250065.0,36.38,7,1.0,rr-am
1717047489,874717463.0,875603538.0,33.83,7,1.0,rr-am
1717064963,898522887.0,835708344.0,32.18,7,1.0,rr-am
1717073723,785438169.0,835708344.0,32.24,7,1.0,rr-am
1717107595,437362645.0,842688228.0,33.0,7,1.0,rr-am
1717222999,874619821.0,827562087.0,24.56,7,1.0,rr-am
1717277120,726610714.0,879494703.0,30.19,7,1.0,rr-am
1717331567,844943639.0,251710807.0,29.18,7,1.0,rr-am
1717589151,458650513.0,592497187.0,31.74,7,1.0,rr-am
1718114556,191667569.0,88493854.0,51.41,6,1.0,rr-ce
1718148579,494511013.0,841428195.0,47.79,6,1.0,rr-ce
1718150287,404723347.0,841428195.0,29.97,7,1.0,rr-am
1718214185,129290093.0,567909755.0,33.92,8,1.0,rr-am
1718233742,571402977.0,817944203.0,55.46,8,1.0,rr-am
1718289301,27840253.0,675205331.0,56.64,6,1.0,rr-ce
1718305999,537921666.0,750576218.0,32.2,8,1.0,rr-am
1718331013,625634184.0,743756593.0,40.53,8,1.0,rr-am
1718418436,659765701.0,847944523.0,29.4,7,1.0,rr-am
1718467787,710616572.0,791992303.0,30.23,7,1.0,rr-am
1718785364,840491850.0,634914355.0,33.59,7,1.0,rr-am
1718812077,380554736.0,634914355.0,31.13,7,1.0,rr-am
1719011832,275511.0,685511761.0,48.15,7,1.0,rr-am
1719157156,30054.0,10223852.0,41.96,7,3.0,am-df
1719179124,729921588.0,10223852.0,39.65,7,1.0,rr-am
1719355632,611932414.0,739925624.0,31.82,7,1.0,rr-am
1719370043,867539136.0,739925624.0,50.47,7,1.0,rr-am
1719406698,173749182.0,516373497.0,37.82,7,1.0,rr-am
1719417847,271319284.0,568695278.0,31.86,7,1.0,rr-am
1719428095,11848247.0,337748254.0,58.1,6,1.0,rr-ce
1719509953,397882481.0,422055891.0,38.04,10,1.0,rr-am
1719525993,711669029.0,710626421.0,32.41,8,1.0,rr-am
1719550291,907229905.0,882483414.0,31.77,8,1.0,rr-am
1719573430,808452944.0,598370253.0,30.37,7,1.0,rr-am
1719588629,423667727.0,598370253.0,32.23,7,1.0,rr-am
1719614316,739824609.0,755446843.0,36.72,7,1.0,rr-am
1719879610,709731220.0,643926207.0,46.15,9,1.0,rr-am
1719887682,736311061.0,890555418.0,61.43,6,1.0,rr-ce
1719940260,23959998.0,654522480.0,37.74,7,1.0,rr-am
1719946751,525756558.0,654522480.0,58.86,6,1.0,rr-ce
1720097480,43933313.0,798543172.0,36.25,10,1.0,rr-am
1720120095,20917867.0,467456302.0,38.58,7,1.0,rr-am
1720124296,387659516.0,757082168.0,46.22,8,1.0,rr-am
1720137241,719527011.0,757082168.0,36.66,8,1.0,rr-am
1720173472,856533416.0,585370069.0,36.99,8,1.0,rr-am
1720187231,263298012.0,585370069.0,46.14,11,1.0,rr-am
1720209163,184916830.0,442342714.0,34.2,7,1.0,rr-am
1720212537,404187401.0,442342714.0,31.28,7,1.0,rr-am
1720232705,850766136.0,247516364.0,32.87,7,1.0,rr-am
1720233932,856006087.0,247516364.0,35.53,7,1.0,rr-am
1720262693,857317280.0,247516364.0,36.37,7,1.0,rr-am
1720270617,763888991.0,247516364.0,43.12,7,1.0,rr-am
1720281032,810760868.0,871474520.0,37.25,7,1.0,rr-am
1720292470,824338805.0,871474520.0,43.11,7,1.0,rr-am
1720319007,886573401.0,876401967.0,36.15,7,1.0,rr-am
1720394965,853647941.0,860881584.0,31.85,7,1.0,rr-am
1720402634,882851211.0,860881584.0,33.38,7,1.0,rr-am
1720448524,311218570.0,737779659.0,55.93,7,1.0,rr-am
1720476260,303772831.0,875774528.0,35.68,8,1.0,rr-am
1720510979,643547805.0,878924752.0,33.73,8,1.0,rr-am
1720545666,898896270.0,855484622.0,39.04,9,1.0,rr-am
1720548698,340421185.0,855484622.0,41.11,8,1.0,rr-am
1720605871,844206560.0,883216580.0,54.11,6,1.0,rr-ce
1720631133,366844808.0,402784484.0,46.32,7,1.0,rr-ce
1720659780,731277779.0,810656983.0,44.1,7,1.0,rr-am
1720714242,400348058.0,488855660.0,53.16,6,1.0,rr-ce
1720725976,1625296.0,488855660.0,49.94,6,1.0,rr-ce
1720749779,577396468.0,787168915.0,49.32,6,1.0,rr-ce
1720781620,744701021.0,869458742.0,47.28,7,1.0,rr-am
1720789261,404635119.0,869458742.0,31.68,7,1.0,rr-am
1720807523,441955934.0,831468256.0,36.47,7,1.0,rr-am
1720820892,718844160.0,831468256.0,40.94,7,1.0,rr-am
