Timestamp_cubic,Vazao_cubic,Vazao_bbr,Atraso(ms),Hop_count,Bottleneck,Link_bottleneck
1705529645,732568230.0,925097665.0,34.99,10,100.0,df-mt
1705776987,754585194.0,905994074.0,23.07,10,100.0,df-mt
1705859832,938642010.0,910803684.0,15.66,8,10.0,pr-ms
1705918342,886463119.0,901296183.0,55.69,10,100.0,df-mt
1705927868,647031843.0,901296183.0,22.7,10,100.0,df-mt
1705969281,670730570.0,919498363.0,24.23,10,20.0,go-df
1706093685,421187906.0,880491380.0,30.32,10,100.0,df-mt
1706109776,500590858.0,875512164.0,31.07,10,100.0,df-mt
1706117726,314312730.0,875512164.0,31.07,10,100.0,df-mt
1706134821,342465298.0,855951904.0,23.13,10,100.0,df-mt
1706146036,543011000.0,882450796.0,31.34,10,100.0,df-mt
1706186666,548926379.0,833412163.0,25.83,10,100.0,df-mt
1706216536,571466677.0,790577986.0,41.25,10,100.0,df-mt
1706234282,371005331.0,836583104.0,27.93,10,100.0,df-mt
1706284745,428473005.0,834401698.0,57.19,10,100.0,df-mt
1706289283,494581976.0,834401698.0,55.62,10,100.0,df-mt
1706302230,418071951.0,852859161.0,32.04,10,100.0,df-mt
1706337622,393269667.0,901807317.0,30.41,10,100.0,df-mt
1706381013,598055919.0,859940101.0,57.84,10,100.0,df-mt
1706393094,476159028.0,859940101.0,56.28,10,100.0,df-mt
1706406205,451697735.0,859679761.0,56.43,10,100.0,df-mt
1706450272,444169275.0,846306578.0,40.51,10,100.0,df-mt
1706477065,367587421.0,828341341.0,29.99,10,100.0,df-mt
1706483094,683620148.0,891938584.0,29.84,10,100.0,df-mt
1706491491,340473580.0,891938584.0,27.49,10,100.0,df-mt
1706554594,368311657.0,870562551.0,57.16,10,100.0,df-mt
1706659107,624491462.0,899732056.0,22.39,10,20.0,go-df
1706680419,937530348.0,912476264.0,24.33,10,20.0,go-df
1706693523,937855893.0,923901376.0,22.73,10,20.0,go-df
1706731118,733060287.0,905695736.0,32.21,9,100.0,df-mt
1706737856,709728772.0,905695736.0,32.2,10,100.0,df-mt
1706768632,899095377.0,902334700.0,31.43,10,100.0,df-mt
1706790077,638688887.0,910540257.0,29.39,10,100.0,df-mt
1706817094,743229033.0,848565134.0,20.99,8,10.0,pr-ms
1706830898,761582310.0,919043959.0,30.69,10,100.0,df-mt
1706853546,759120504.0,909118073.0,27.54,10,100.0,df-mt
1706922704,840413494.0,924654520.0,25.94,10,100.0,df-mt
1706955330,794824024.0,914940020.0,25.3,10,100.0,df-mt
1707135701,719324970.0,914307168.0,26.08,10,100.0,df-mt
1707152083,675649303.0,903087073.0,62.25,10,100.0,df-mt
1707245179,762525039.0,917348640.0,56.39,10,100.0,df-mt
1707252621,576666043.0,893073876.0,54.46,10,100.0,df-mt
1707269291,818059859.0,890403897.0,56.91,10,100.0,df-mt
1707321681,784177600.0,902468016.0,48.29,10,100.0,df-mt
1707334183,594372764.0,905013275.0,26.96,10,100.0,df-mt
1707380877,872210488.0,911474824.0,40.64,10,20.0,go-df
1707392436,195769207.0,906922587.0,39.26,10,20.0,go-df
1707407533,730704606.0,906922587.0,30.1,10,100.0,df-mt
1707429874,923380365.0,903812114.0,23.2,10,100.0,df-mt
1707476864,830837365.0,907125864.0,56.88,10,100.0,df-mt
1707504989,727002894.0,911647426.0,31.52,10,20.0,go-df
1707518333,703867064.0,911647426.0,22.94,10,100.0,df-mt
1707526202,797914745.0,911647426.0,24.39,10,100.0,df-mt
1707559175,928531596.0,912736608.0,32.5,10,100.0,df-mt
1707590179,902013732.0,911948338.0,23.65,10,100.0,df-mt
1707792441,937217088.0,912999870.0,32.08,10,20.0,go-df
1707812305,938847403.0,913465475.0,31.29,10,20.0,go-df
1707835973,893037566.0,921249577.0,30.01,10,20.0,go-df
1707841781,509451337.0,921249577.0,30.11,10,20.0,go-df
1707864980,931557340.0,921333651.0,48.5,10,100.0,df-mt
1707866364,832990023.0,921333651.0,49.1,10,100.0,df-mt
1707935325,537714424.0,910218444.0,22.3,10,100.0,df-mt
1707943141,838077846.0,910218444.0,21.9,10,100.0,df-mt
1707962543,773317569.0,906809476.0,21.18,10,100.0,df-mt
1708013801,574330912.0,915747613.0,54.85,10,100.0,df-mt
1708025734,438042777.0,915747613.0,30.94,10,100.0,df-mt
1708046507,872052329.0,919236402.0,29.71,10,100.0,df-mt
1708079397,936961877.0,908021969.0,54.55,10,100.0,df-mt
1708085832,787425824.0,908021969.0,55.26,10,100.0,df-mt
1708102168,938788872.0,908021969.0,32.91,10,100.0,df-mt
1708114942,721813358.0,906241686.0,30.2,10,20.0,go-df
1708130627,914316449.0,906241686.0,58.47,10,100.0,df-mt
1708174007,642153368.0,918344513.0,57.22,10,100.0,df-mt
1708184204,875167347.0,918344513.0,46.38,10,100.0,df-mt
1708207558,890874044.0,918133512.0,51.64,10,100.0,df-mt
1708255583,928935382.0,909239457.0,53.31,10,100.0,df-mt
1708304618,714029076.0,823604719.0,53.64,10,100.0,df-mt
1708335255,891188619.0,823604719.0,53.01,10,100.0,df-mt
1708361792,644632627.0,893283457.0,40.61,10,100.0,df-mt
1708379777,677801288.0,873777201.0,56.71,10,100.0,df-mt
1708392349,868014164.0,888825801.0,56.29,10,100.0,df-mt
1708425545,925205944.0,905393580.0,55.57,10,100.0,df-mt
1708439811,692694164.0,905393580.0,25.05,10,20.0,go-df
1708443605,793196504.0,905393580.0,24.64,10,20.0,go-df
1708472369,847463572.0,906346722.0,35.03,10,100.0,df-mt
1708509195,862559221.0,922274790.0,42.95,10,100.0,df-mt
1708517527,836444223.0,922274790.0,43.37,10,100.0,df-mt
1708534904,666161065.0,916558494.0,56.75,9,10.0,mg-df
1708546571,750044275.0,916558494.0,13.9,9,10.0,mg-df
1708627211,607338923.0,910690077.0,16.49,8,10.0,pr-ms
1708638829,858002417.0,910690077.0,32.87,10,100.0,df-mt
1708644807,829053298.0,910690077.0,33.6,10,100.0,df-mt
1708691283,719487423.0,909580710.0,36.09,10,100.0,df-mt
1708722508,690226843.0,910531060.0,53.67,10,100.0,df-mt
1708739460,935385026.0,910531060.0,52.12,10,100.0,df-mt
1708774161,923335923.0,912188484.0,20.95,9,10.0,mg-df
1708804448,928433487.0,912000708.0,21.2,9,10.0,mg-df
1708896889,702966826.0,802268706.0,24.09,8,10.0,pr-ms
1708903440,907695257.0,902928251.0,56.36,10,100.0,df-mt
1708944329,772116389.0,906129351.0,51.2,10,100.0,df-mt
1708971082,798107346.0,916404278.0,55.23,10,100.0,df-mt
1708991220,808606673.0,878234389.0,57.94,10,100.0,df-mt
1709087715,906809975.0,919340754.0,56.09,10,100.0,df-mt
1709108089,888059806.0,919340754.0,55.09,10,100.0,df-mt
1709253279,777838071.0,917032599.0,47.86,10,100.0,df-mt
1709315808,652791347.0,911370331.0,17.38,8,10.0,pr-ms
1709336693,870843543.0,910005680.0,16.56,8,10.0,pr-ms
1709414156,936694017.0,912579206.0,21.72,9,10.0,mg-df
1709434757,935290504.0,912579206.0,25.91,8,20.0,go-df
1709461501,918018465.0,909351846.0,18.58,9,10.0,mg-df
1709476563,765146787.0,912894784.0,18.87,9,10.0,mg-df
1709504360,929670131.0,912272979.0,34.28,10,100.0,df-mt
1709514909,903201821.0,909642681.0,36.7,10,100.0,df-mt
1709603919,932869416.0,912211062.0,18.07,9,10.0,mg-df
1709683289,704383534.0,900414597.0,54.02,9,10.0,mg-df
1709758206,936441050.0,893229242.0,40.76,10,100.0,df-mt
1709845967,817052420.0,919920830.0,21.37,9,10.0,mg-df
1709862261,850774431.0,915459231.0,41.32,10,100.0,df-mt
1709883654,937321570.0,910586585.0,40.81,10,100.0,df-mt
1709892299,921909770.0,910586585.0,37.7,10,100.0,df-mt
1709899584,911035079.0,910586585.0,42.74,9,100.0,df-mt
1709913986,739250441.0,716208872.0,57.34,10,100.0,df-mt
1709932139,646649141.0,900829569.0,62.79,10,100.0,df-mt
1709946873,937950247.0,912259660.0,18.26,9,10.0,mg-df
1709947616,911701315.0,912259660.0,18.08,9,10.0,mg-df
1710106325,470932929.0,914989613.0,56.65,10,100.0,df-mt
1710111468,876091462.0,914989613.0,39.44,10,100.0,df-mt
1710190413,867913819.0,856950235.0,60.5,10,100.0,df-mt
1710231896,747638986.0,909587387.0,55.48,10,100.0,df-mt
1710245703,871051386.0,909587387.0,60.43,10,100.0,df-mt
1710295962,912696556.0,903085718.0,57.94,10,100.0,df-mt
1710312231,757445993.0,903085718.0,57.6,10,100.0,df-mt
1710370827,517105874.0,903772941.0,26.04,10,100.0,df-mt
1710441993,760115402.0,903506504.0,28.03,9,10.0,mg-df
1710463981,725730988.0,906862313.0,19.51,9,10.0,mg-df
1710545859,784733286.0,906862812.0,17.61,9,10.0,mg-df
1710638697,791153796.0,893222934.0,61.21,10,100.0,df-mt
1710671765,627210658.0,906443698.0,54.24,10,100.0,df-mt
1710691069,772688582.0,906443698.0,49.03,10,100.0,df-mt
1710717395,821666289.0,915514360.0,48.22,10,100.0,df-mt
1710744877,791937657.0,886151400.0,13.41,8,10.0,pr-ms
1710760453,818630855.0,906758498.0,57.67,10,100.0,df-mt
1710889108,656934440.0,915862167.0,51.16,10,100.0,df-mt
1710923960,794244050.0,905289040.0,49.48,10,100.0,df-mt
1710926653,891077924.0,905289040.0,49.8,10,100.0,df-mt
1710962965,595488275.0,902458829.0,49.45,10,100.0,df-mt
1710976007,838969391.0,833148102.0,39.94,10,100.0,df-mt
1710987936,838971404.0,833148102.0,44.46,10,100.0,df-mt
1711019230,758489080.0,910186404.0,45.41,10,100.0,df-mt
1711057832,606237397.0,910639834.0,42.46,8,10.0,pr-ms
1711064205,676594915.0,913366006.0,46.88,10,100.0,df-mt
1711115128,506546422.0,907351575.0,38.1,10,100.0,df-mt
1711126911,649751190.0,905707610.0,21.07,10,100.0,df-mt
1711144748,720225200.0,919581886.0,38.16,10,100.0,df-mt
1711161697,900149932.0,878460999.0,39.62,10,100.0,df-mt
1711189282,746752060.0,891552234.0,41.18,10,100.0,df-mt
1711205621,783865967.0,891552234.0,53.69,10,100.0,df-mt
1711218282,713558715.0,907489736.0,44.53,10,100.0,df-mt
1711228504,825589791.0,907489736.0,46.2,10,100.0,df-mt
1711237436,805823715.0,907808076.0,47.97,10,100.0,df-mt
1711307649,831682794.0,907544978.0,46.58,10,100.0,df-mt
1711330251,651324122.0,884002085.0,42.93,10,100.0,df-mt
1711353917,729285884.0,909068508.0,46.03,10,100.0,df-mt
1711361702,634233635.0,909068508.0,46.3,10,100.0,df-mt
1711495642,670873792.0,909112346.0,50.27,10,100.0,df-mt
1711562579,688133883.0,898879215.0,45.77,10,100.0,df-mt
1711570529,601582398.0,898879215.0,49.16,10,100.0,df-mt
1711584083,735163749.0,900833533.0,39.39,10,100.0,df-mt
1711593422,871376792.0,916526271.0,63.17,10,100.0,df-mt
1711613640,935490025.0,906127222.0,59.62,10,100.0,df-mt
1711656928,650222757.0,906733835.0,48.6,10,100.0,df-mt
1711689061,917296119.0,921360700.0,15.85,8,10.0,pr-ms
1711703719,789527667.0,922432583.0,18.04,9,10.0,mg-df
1711753637,872680124.0,898840965.0,53.22,10,100.0,df-mt
1711760718,793405030.0,901938644.0,55.39,10,100.0,df-mt
1711846773,866229499.0,907754376.0,19.35,9,10.0,mg-df
1711907263,924212622.0,918973706.0,19.88,9,10.0,mg-df
1711918668,798264561.0,858261773.0,19.88,9,10.0,mg-df
1711936597,767505970.0,912261439.0,12.88,9,10.0,mg-df
1711964711,727607905.0,924634825.0,14.7,9,10.0,mg-df
1712001606,779301176.0,908278029.0,10.93,8,10.0,pr-ms
1712015345,854591277.0,911950559.0,47.66,10,100.0,df-mt
1712022935,905343189.0,911950559.0,12.17,8,10.0,pr-ms
1712054591,903926251.0,908675554.0,18.25,9,10.0,mg-df
1712084664,890924692.0,879176688.0,7.1,9,10.0,mg-df
1712098501,619761526.0,909019988.0,17.5,9,10.0,mg-df
1712159671,699770638.0,907806124.0,14.23,9,10.0,mg-df
1712168647,759653797.0,911577859.0,8.77,8,10.0,pr-ms
1712171262,658801734.0,911577859.0,14.24,8,10.0,pr-ms
1712190551,758387231.0,902987362.0,9.7,8,10.0,pr-ms
1712269362,853225309.0,901148241.0,10.35,8,10.0,pr-ms
1712352274,676376745.0,904035087.0,17.88,10,100.0,df-mt
1712367542,841175574.0,912575647.0,44.11,10,100.0,df-mt
1712402027,819095429.0,921698810.0,49.38,10,100.0,df-mt
1712425604,845997292.0,871995191.0,49.04,10,100.0,df-mt
1712438036,916034344.0,906860137.0,4.13,8,10.0,pr-ms
1712442781,892136713.0,906860137.0,7.96,8,10.0,pr-ms
1712465252,878460037.0,906655273.0,55.15,10,100.0,df-mt
1712497005,866192137.0,920335109.0,51.5,10,100.0,df-mt
1712512372,900498858.0,920335109.0,20.93,8,10.0,pr-ms
1712591352,805532314.0,918893992.0,10.32,8,10.0,pr-ms
1712605112,651533609.0,910273877.0,26.94,8,10.0,pr-ms
1712627369,822977507.0,919973167.0,19.27,10,100.0,df-mt
1712691491,673126968.0,920758268.0,10.69,8,10.0,pr-ms
1712710804,680369864.0,919777339.0,12.99,8,10.0,pr-ms
1712736787,882903155.0,914305568.0,7.8,8,10.0,pr-ms
1712748707,810449002.0,914305568.0,13.62,8,10.0,pr-ms
1712764716,840002990.0,914305568.0,11.24,9,10.0,pr-ms
1712771321,560889892.0,910270737.0,9.93,9,10.0,pr-ms
1712783842,401554327.0,908172763.0,11.9,9,10.0,pr-ms
1712810028,838387264.0,904152720.0,39.51,9,10.0,pr-ms
1712950874,633866283.0,904710965.0,11.81,8,10.0,pr-ms
1712964010,740976971.0,904710965.0,41.08,10,100.0,df-mt
1712968841,813070302.0,904710965.0,36.28,10,100.0,df-mt
1713034773,885356763.0,909813685.0,45.27,10,100.0,df-mt
1713062050,841070631.0,909813685.0,21.0,10,100.0,df-mt
1713091457,900467793.0,905985309.0,14.81,10,100.0,df-mt
1713109491,865081471.0,882502135.0,48.96,10,100.0,df-mt
1713122509,796202996.0,919811189.0,16.56,10,100.0,df-mt
1713137015,938784929.0,924215163.0,17.66,10,100.0,df-mt
1713139426,901147160.0,924215163.0,16.96,10,100.0,df-mt
1713200656,771803400.0,902720477.0,49.23,10,100.0,df-mt
1713215597,658453793.0,898364837.0,29.08,10,100.0,df-mt
1713229708,778097960.0,898261552.0,49.68,10,100.0,df-mt
1713295010,642414808.0,908228916.0,19.99,10,100.0,df-mt
1713304466,858208614.0,908228916.0,15.88,10,100.0,df-mt
1713318911,868168368.0,909420329.0,45.54,10,100.0,df-mt
1713518041,926678344.0,912265270.0,43.51,10,100.0,df-mt
1713538658,686035753.0,912265270.0,19.38,10,100.0,df-mt
1713550355,795137685.0,912165910.0,13.42,8,10.0,pr-ms
1713561779,829320334.0,910752797.0,9.51,8,10.0,pr-ms
1713578418,700453846.0,909077074.0,10.33,8,10.0,pr-ms
1713608297,818163195.0,893968296.0,11.83,8,10.0,pr-ms
1713620433,699821127.0,893968296.0,10.45,8,10.0,pr-ms
1713646353,889503729.0,906960609.0,11.46,8,10.0,pr-ms
1713694220,787640382.0,926252706.0,10.52,9,10.0,mg-df
1713708116,886511043.0,926252706.0,13.5,9,10.0,mg-df
1713738390,828532989.0,906864082.0,40.8,10,100.0,df-mt
1713746953,676019583.0,906864082.0,19.58,10,100.0,df-mt
1714089468,872101182.0,912329605.0,47.28,10,100.0,df-mt
1714096492,849819396.0,912329605.0,34.11,10,100.0,df-mt
1714120119,861931842.0,900676696.0,20.05,10,100.0,df-mt
1714129624,860879648.0,900676696.0,31.92,10,100.0,df-mt
1714178533,886799079.0,911374296.0,35.54,10,100.0,df-mt
1714240443,815795880.0,910063251.0,17.39,10,100.0,df-mt
1714254507,876890546.0,912787918.0,18.58,10,100.0,df-mt
1714263387,915356021.0,912787918.0,46.17,10,100.0,df-mt
1714281481,936431873.0,912787918.0,21.21,10,100.0,df-mt
1714301500,919393689.0,917372080.0,30.12,10,100.0,df-mt
1714334663,919182043.0,917716055.0,21.81,10,100.0,df-mt
1714343921,780331911.0,882648910.0,21.14,10,100.0,df-mt
1714359200,883815751.0,882648910.0,46.55,10,100.0,df-mt
1714404292,696206108.0,907385649.0,22.11,10,100.0,df-mt
1714422179,464865583.0,912383934.0,17.59,7,20.0,sp-df
1714437845,868379777.0,912383934.0,16.84,7,20.0,sp-df
1714479932,643274201.0,919192659.0,18.26,7,20.0,sp-df
1714655215,336593131.0,665318611.0,6.67,8,20.0,go-df
1714691851,863032418.0,911699491.0,12.41,8,10.0,pr-ms
1714778718,454034270.0,911757542.0,13.14,7,20.0,sp-df
1714860647,893250426.0,914518759.0,10.57,7,20.0,sp-df
1714891149,925900107.0,914518759.0,12.1,7,20.0,sp-df
1715196599,483394647.0,921452178.0,11.78,8,10.0,pr-ms
1715243384,704487405.0,913572936.0,12.3,8,20.0,go-df
1715245781,475687287.0,913572936.0,12.28,8,20.0,go-df
1715267077,803682803.0,911863437.0,10.63,8,10.0,pr-ms
1715268139,794560688.0,911863437.0,9.94,8,20.0,go-df
1715286157,870795033.0,908487245.0,12.84,8,10.0,pr-ms
1715296367,640422082.0,913990584.0,12.18,8,10.0,pr-ms
1715300865,937315946.0,913990584.0,11.26,8,20.0,go-df
1715348685,752622235.0,911170320.0,8.88,8,20.0,go-df
1715375031,523397338.0,912182600.0,11.92,7,20.0,sp-df
1715390796,936014689.0,910061158.0,14.25,7,20.0,sp-df
1715411072,939320580.0,911164762.0,14.39,7,20.0,sp-df
1715427189,848615442.0,911164762.0,11.01,7,20.0,sp-df
1715457750,781608745.0,926839384.0,14.17,7,20.0,sp-df
1715477261,933763837.0,913888560.0,16.2,7,20.0,sp-df
1715563400,705956262.0,912733481.0,14.52,7,20.0,sp-df
1715647872,827118527.0,906836786.0,17.8,7,20.0,sp-df
1715683754,932446347.0,916822471.0,21.27,7,20.0,sp-df
1715729301,734279368.0,882246502.0,10.91,7,20.0,sp-df
1715802101,775264471.0,919976249.0,10.84,7,20.0,sp-df
1715838941,928725342.0,915985992.0,11.9,7,20.0,sp-df
1715891579,692112727.0,911787254.0,11.35,7,20.0,sp-df
1715913801,877660262.0,911787254.0,12.14,7,20.0,sp-df
1715958445,869376839.0,912577563.0,11.64,7,20.0,sp-df
1715972517,901256164.0,912263811.0,11.96,7,20.0,sp-df
1716016282,889141753.0,909799195.0,11.74,7,20.0,sp-df
1716025641,890609940.0,909799195.0,12.87,7,20.0,sp-df
1716049633,932801704.0,913310426.0,12.18,7,20.0,sp-df
1716080958,921017788.0,911108096.0,11.76,7,20.0,sp-df
1716161374,929040565.0,914465049.0,13.92,7,20.0,sp-df
1716167367,937963261.0,914465049.0,12.0,7,20.0,sp-df
1716168298,945605600.0,914465049.0,11.98,7,20.0,sp-df
1716241040,775325717.0,894278265.0,14.53,8,10.0,pr-ms
1716244462,788130379.0,894278265.0,11.03,8,10.0,pr-ms
1716281698,806094210.0,910005602.0,11.65,8,20.0,sp-df
1716288434,885893110.0,910005602.0,11.5,8,20.0,sp-df
1716335228,834405520.0,892340986.0,13.21,8,10.0,pr-ms
1716337444,868120454.0,892340986.0,14.03,8,10.0,pr-ms
1716370033,669779996.0,899414714.0,14.65,8,20.0,sp-df
1716392206,827807263.0,906076696.0,14.08,8,10.0,pr-ms
1716406045,670544813.0,894962166.0,13.22,7,20.0,sp-df
1716427418,908103704.0,910061658.0,11.82,7,20.0,sp-df
1716500045,656462810.0,917818802.0,11.99,7,20.0,sp-df
1716509377,836974744.0,917818802.0,12.27,7,20.0,sp-df
1716517612,925030154.0,924946022.0,13.28,7,20.0,sp-df
1716587097,859415424.0,919496432.0,11.65,7,20.0,sp-df
1716593264,736463487.0,919188937.0,11.64,7,20.0,sp-df
1716679412,924296291.0,891974474.0,12.75,7,20.0,sp-df
1716715405,803263251.0,907650426.0,13.05,7,20.0,sp-df
1716736745,410256201.0,907650426.0,12.14,7,20.0,sp-df
1716737978,764837529.0,907650426.0,12.3,7,20.0,sp-df
1716834533,868355304.0,917948814.0,12.24,7,20.0,sp-df
1716852249,914412986.0,907591281.0,13.96,7,20.0,sp-df
1716904727,900286151.0,913958739.0,12.13,7,20.0,sp-df
1717118854,913953739.0,904457459.0,12.87,7,20.0,sp-df
1717169867,887936110.0,908914765.0,13.11,7,20.0,sp-df
