Timestamp_cubic,Vazao_cubic,Vazao_bbr,Atraso(ms),Hop_count,Bottleneck,Link_bottleneck
1705449409,935122508.0,893926192.0,8.21,4,100.0,ap-pa
1705458678,925421118.0,926942806.0,4.82,4,100.0,ap-pa
1705493201,921490754.0,926789458.0,2.53,4,100.0,ap-pa
1706262099,536403719.0,910167335.0,8.03,4,100.0,ap-pa
1706278287,622307735.0,910167335.0,11.43,4,100.0,ap-pa
1706319876,651953823.0,911475827.0,-1.77,4,100.0,ap-pa
1706345962,808139785.0,921751147.0,-0.95,4,100.0,ap-pa
1706368458,813853361.0,862926482.0,-1.19,4,100.0,ap-pa
1706441190,787744571.0,915251849.0,7.24,4,100.0,ap-pa
1706445110,816896808.0,907436626.0,6.63,4,100.0,ap-pa
1706464262,382602674.0,874237818.0,4.54,4,100.0,ap-pa
1706479310,854851156.0,874237818.0,7.21,4,100.0,ap-pa
1706575095,322542187.0,902141865.0,1.17,4,100.0,ap-pa
1706612164,456236581.0,898790918.0,2.65,4,100.0,ap-pa
1706621185,295645737.0,893073474.0,4.54,4,100.0,ap-pa
1706769936,910900111.0,925740228.0,15.35,4,100.0,ap-pa
1706796032,906499164.0,925740228.0,2.68,4,100.0,ap-pa
1706796931,695488201.0,925740228.0,1.94,4,100.0,ap-pa
1706812721,848038553.0,915936036.0,2.2,4,100.0,ap-pa
1706825887,429391335.0,892499880.0,48.08,8,3.0,am-df
1706838110,25532829.0,899574789.0,63.16,8,3.0,am-df
1706884296,370043043.0,898732961.0,40.92,8,3.0,am-df
1706912917,566179970.0,921386679.0,5.36,4,100.0,ap-pa
1706919947,842324680.0,921386679.0,-2.59,4,100.0,ap-pa
1706960994,891555800.0,925471049.0,6.13,4,100.0,ap-pa
1707020517,928570794.0,916091445.0,11.82,4,100.0,ap-pa
1707041192,927571257.0,910271146.0,11.86,4,100.0,ap-pa
1707062027,452881197.0,910271146.0,1.01,4,100.0,ap-pa
1707075860,456615921.0,926738836.0,1.84,4,100.0,ap-pa
1707108794,812594946.0,918397310.0,9.21,4,100.0,ap-pa
1707174006,900254474.0,925835966.0,-7.62,4,100.0,ap-pa
1707182671,739929356.0,925835966.0,0.58,4,100.0,ap-pa
1707215540,841472968.0,923274399.0,-7.87,4,100.0,ap-pa
1707232886,492151680.0,923274399.0,-2.51,4,100.0,ap-pa
1707295078,931469295.0,926522170.0,5.71,4,100.0,ap-pa
1707321147,466657129.0,904292620.0,6.13,4,100.0,ap-pa
1707333995,920810559.0,904292620.0,4.64,4,100.0,ap-pa
1707347015,827537917.0,925962730.0,-2.6,4,100.0,ap-pa
1707359392,924583783.0,925962730.0,4.06,4,100.0,ap-pa
1707460040,828670345.0,916981866.0,-7.13,4,100.0,ap-pa
1707482281,909221977.0,916981866.0,-1.46,4,100.0,ap-pa
1707498067,526333907.0,926822053.0,-6.23,4,100.0,ap-pa
1707526193,735838686.0,924687855.0,-9.85,4,100.0,ap-pa
1707566725,831550869.0,928410397.0,4.03,4,100.0,ap-pa
1707618898,896062188.0,910912967.0,3.28,4,100.0,ap-pa
1707653253,916949122.0,923221970.0,7.34,4,100.0,ap-pa
1707668174,528377737.0,923221970.0,-8.73,4,100.0,ap-pa
1707679410,928412300.0,882324584.0,6.1,4,100.0,ap-pa
1707686023,905867206.0,882324584.0,-5.1,4,100.0,ap-pa
1707761812,848299383.0,927574596.0,2.3,4,100.0,ap-pa
1707775231,918607025.0,880231084.0,-2.78,4,100.0,ap-pa
1707799382,919812476.0,881330331.0,8.82,4,100.0,ap-pa
1707822898,825124041.0,925412840.0,7.8,4,100.0,ap-pa
1707833238,832683489.0,925412840.0,5.03,4,100.0,ap-pa
1707840274,516948872.0,925412840.0,16.91,4,100.0,ap-pa
1707861624,624897586.0,915933654.0,7.33,4,100.0,ap-pa
1707869454,918292176.0,915933654.0,3.35,4,100.0,ap-pa
1707940921,741292990.0,925053562.0,-0.4,4,100.0,ap-pa
1707955017,682100631.0,913312298.0,2.37,4,100.0,ap-pa
1707961905,797166710.0,913312298.0,3.61,4,100.0,ap-pa
1708030396,904233545.0,925944897.0,20.96,4,100.0,ap-pa
1708034761,833880189.0,925944897.0,-4.36,4,100.0,ap-pa
1708042946,922166832.0,925944897.0,2.79,4,100.0,ap-pa
1708065477,919547297.0,925944897.0,0.8,4,100.0,ap-pa
1708088035,859046231.0,915204088.0,1.49,4,100.0,ap-pa
1708093728,926667806.0,916561106.0,-0.17,4,100.0,ap-pa
1708108230,836864614.0,925108072.0,2.35,4,100.0,ap-pa
1708115653,386034103.0,800171066.0,16.49,4,100.0,ap-pa
1708136790,813226207.0,925629816.0,2.53,4,100.0,ap-pa
1708153835,827639671.0,925629816.0,4.21,4,100.0,ap-pa
1708164775,580807117.0,924269256.0,4.32,4,100.0,ap-pa
1708174846,827904091.0,924269256.0,6.4,4,100.0,ap-pa
1708191800,9654840.0,924269256.0,71.09,13,1.0,rr-ce
1708987600,828586246.0,926871005.0,-1.27,4,100.0,ap-pa
1709013407,839439531.0,925006359.0,-0.18,4,100.0,ap-pa
1709072804,919392172.0,886305850.0,2.74,4,100.0,ap-pa
1709085850,422052831.0,886305850.0,1.82,4,100.0,ap-pa
1709111679,767140349.0,923586186.0,-4.61,4,100.0,ap-pa
1709126936,792882288.0,923586186.0,-3.79,4,100.0,ap-pa
1709136341,733689874.0,923586186.0,-2.42,4,100.0,ap-pa
1709141915,569901540.0,923586186.0,-4.49,4,100.0,ap-pa
1709157319,906126406.0,927206851.0,-2.6,4,100.0,ap-pa
1709172910,817840081.0,917399371.0,2.98,4,100.0,ap-pa
1709196905,829165037.0,910427067.0,-1.92,4,100.0,ap-pa
1709205196,924008359.0,910427067.0,-2.68,4,100.0,ap-pa
1709212018,910588406.0,910427067.0,-4.69,4,100.0,ap-pa
1709232103,746703588.0,893397830.0,-4.84,4,100.0,ap-pa
1709251333,921760030.0,881801662.0,4.26,4,100.0,ap-pa
1709259542,662964164.0,881801662.0,3.73,4,100.0,ap-pa
1709273112,925633426.0,926256185.0,8.16,4,100.0,ap-pa
1709284533,829634119.0,914202676.0,3.56,4,100.0,ap-pa
1709298626,723100359.0,900465405.0,10.02,4,100.0,ap-pa
1709366492,853437329.0,924740792.0,1.59,4,100.0,ap-pa
1709384148,879667208.0,925736663.0,1.91,4,100.0,ap-pa
1709395533,909326243.0,925736663.0,2.98,4,100.0,ap-pa
1709417246,688836671.0,915147742.0,3.52,4,100.0,ap-pa
1709461520,909693336.0,904454384.0,9.75,4,100.0,ap-pa
1709489512,775160040.0,916192821.0,-0.37,4,100.0,ap-pa
1709500096,731433859.0,916192821.0,-4.51,4,100.0,ap-pa
1709529703,582741741.0,916192821.0,3.52,4,100.0,ap-pa
1709554209,839910929.0,911852597.0,2.45,4,100.0,ap-pa
1709577632,778518988.0,911852597.0,-4.97,4,100.0,ap-pa
1709593253,869849439.0,916088651.0,12.33,4,100.0,ap-pa
1709605423,917873158.0,916088651.0,8.49,4,100.0,ap-pa
1709629207,808401607.0,915470445.0,7.97,4,100.0,ap-pa
1709641976,922170163.0,915470445.0,0.31,4,100.0,ap-pa
1709666469,849033218.0,908958287.0,-7.24,4,100.0,ap-pa
1709673035,925217185.0,915836215.0,-7.67,4,100.0,ap-pa
1709693313,828635029.0,867160992.0,-0.89,4,100.0,ap-pa
1709730657,922067841.0,926611258.0,7.84,4,100.0,ap-pa
1709748050,868378692.0,779882689.0,4.44,4,100.0,ap-pa
1709762201,920337364.0,779882689.0,-3.33,4,100.0,ap-pa
1709804930,829950476.0,922486857.0,-3.95,4,100.0,ap-pa
1709814167,859886382.0,922486857.0,-3.21,4,100.0,ap-pa
1709836951,825997315.0,922224528.0,5.69,4,100.0,ap-pa
1709843497,835978637.0,911740068.0,-4.08,4,100.0,ap-pa
1709864590,823864350.0,925369893.0,-3.41,4,100.0,ap-pa
1709927361,401762798.0,926709598.0,1.0,4,100.0,ap-pa
1709943225,747005766.0,907072210.0,4.8,4,100.0,ap-pa
1709976397,383829517.0,870581878.0,43.79,8,3.0,am-df
1709995996,828348370.0,916404049.0,4.65,4,100.0,ap-pa
1710013746,562509045.0,923271952.0,19.5,4,100.0,ap-pa
1710060041,823238087.0,927050445.0,-3.27,4,100.0,ap-pa
1710096614,900204746.0,916142729.0,-0.07,4,100.0,ap-pa
1710106355,924271289.0,925425653.0,-2.33,4,100.0,ap-pa
1710144862,654942730.0,885733342.0,-6.98,4,100.0,ap-pa
1710169124,894390767.0,923111019.0,-10.57,4,100.0,ap-pa
1710205433,816686071.0,806273492.0,-9.39,4,100.0,ap-pa
1710251412,822376366.0,913174514.0,-2.32,4,100.0,ap-pa
1710274990,883218081.0,768923894.0,-0.76,4,100.0,ap-pa
1710368402,834934192.0,913207897.0,-0.67,4,100.0,ap-pa
1710380931,833041786.0,913207897.0,-3.86,4,100.0,ap-pa
1710411091,755393055.0,925731942.0,-1.7,4,100.0,ap-pa
1710432397,629723198.0,919917748.0,-6.12,4,100.0,ap-pa
1710459066,917300430.0,916409420.0,2.81,4,100.0,ap-pa
1710464756,919757932.0,916409420.0,1.45,4,100.0,ap-pa
1710503117,834094783.0,924114418.0,5.95,4,100.0,ap-pa
1710509041,515638227.0,924114418.0,0.91,4,100.0,ap-pa
1710525633,547549960.0,924114418.0,-0.36,4,100.0,ap-pa
1710535244,769148686.0,926053506.0,-3.91,4,100.0,ap-pa
1710589556,808243229.0,926000243.0,4.2,4,100.0,ap-pa
1710662031,884422974.0,925453824.0,16.81,4,100.0,ap-pa
1710665018,827484246.0,925265775.0,16.66,4,100.0,ap-pa
1710681698,920753710.0,921542584.0,11.4,4,100.0,ap-pa
1710705055,818941295.0,913311590.0,15.04,4,100.0,ap-pa
1710741116,815676107.0,913155149.0,9.01,4,100.0,ap-pa
1710761352,450679835.0,925948462.0,9.92,4,100.0,ap-pa
1710768847,546947086.0,920915463.0,10.27,4,100.0,ap-pa
1710790442,575195358.0,911160388.0,1.55,4,100.0,ap-pa
1710804192,917453176.0,911160388.0,8.99,4,100.0,ap-pa
1710806997,915259766.0,874094395.0,6.59,4,100.0,ap-pa
1710867153,467557895.0,919183284.0,-4.17,4,100.0,ap-pa
1710879957,926263777.0,919183284.0,-6.06,4,100.0,ap-pa
1710956608,817259684.0,923850055.0,-1.0,4,100.0,ap-pa
1710979621,793930112.0,908077077.0,-2.05,4,100.0,ap-pa
1710986189,900604035.0,908077077.0,-3.22,4,100.0,ap-pa
1711027273,855483467.0,921834087.0,-3.59,4,100.0,ap-pa
1711039617,894070293.0,926258729.0,-2.88,4,100.0,ap-pa
1711042420,887982944.0,926258729.0,-2.82,4,100.0,ap-pa
1711052958,884633928.0,924326584.0,-3.42,4,100.0,ap-pa
1711071425,915721695.0,915565873.0,6.51,4,100.0,ap-pa
1711103199,749312596.0,924847361.0,10.36,4,100.0,ap-pa
1711112450,908330049.0,924847361.0,20.24,4,100.0,ap-pa
1711136182,732220913.0,912598142.0,-3.21,4,100.0,ap-pa
1711140348,806251981.0,912598142.0,-7.53,4,100.0,ap-pa
1711208103,608549907.0,926000475.0,8.55,4,100.0,ap-pa
1711215277,697776643.0,926000475.0,4.24,4,100.0,ap-pa
1711223714,610693899.0,926000475.0,1.68,4,100.0,ap-pa
1711231715,839345207.0,926366551.0,2.57,4,100.0,ap-pa
1711290893,776944057.0,913052619.0,6.77,4,100.0,ap-pa
1711311539,672033601.0,921524504.0,1.16,4,100.0,ap-pa
1711328408,510342270.0,921524504.0,-1.57,4,100.0,ap-pa
1711354028,532267237.0,926313659.0,-3.42,4,100.0,ap-pa
1711375256,678694005.0,915880767.0,-4.33,4,100.0,ap-pa
1711382349,816947767.0,915880767.0,-3.28,4,100.0,ap-pa
1711403720,760378460.0,898478500.0,-3.32,4,100.0,ap-pa
1711419462,825964678.0,898478500.0,-11.51,4,100.0,ap-pa
1711467261,513065414.0,924058015.0,-8.95,4,100.0,ap-pa
1711484860,825596148.0,924058015.0,-4.84,4,100.0,ap-pa
1711519128,920218518.0,903401511.0,-3.53,4,100.0,ap-pa
1711531244,757597826.0,903401511.0,-3.19,4,100.0,ap-pa
1711548215,907181332.0,925792518.0,-3.19,4,100.0,ap-pa
1711559159,901128833.0,924113216.0,2.21,4,100.0,ap-pa
1711570994,875038422.0,924113216.0,1.1,4,100.0,ap-pa
1711579918,471807030.0,918554321.0,3.12,4,100.0,ap-pa
1711589331,892235905.0,918554321.0,7.11,4,100.0,ap-pa
1711641015,472605987.0,914201671.0,60.19,4,100.0,ap-pa
1711659439,887516812.0,926365764.0,7.69,4,100.0,ap-pa
1711668571,917450974.0,926365764.0,6.22,4,100.0,ap-pa
1711678136,292082626.0,926365764.0,44.07,8,3.0,am-df
1711717671,917924944.0,925527688.0,12.64,4,100.0,ap-pa
1711719646,894592524.0,925527688.0,12.64,4,100.0,ap-pa
1711736995,833985588.0,924561316.0,4.2,4,100.0,ap-pa
1711751299,712721775.0,926786724.0,-2.93,4,100.0,ap-pa
1711761845,771490756.0,926786724.0,0.25,4,100.0,ap-pa
1711803854,810724800.0,916403086.0,-5.29,4,100.0,ap-pa
1711817599,823658713.0,915561570.0,1.48,4,100.0,ap-pa
1711827413,486385333.0,921592847.0,-2.6,4,100.0,ap-pa
1711847200,894856279.0,925369754.0,-5.79,4,100.0,ap-pa
1711865040,830579956.0,911476738.0,1.17,4,100.0,ap-pa
1711877136,924059586.0,911476738.0,-1.29,4,100.0,ap-pa
1711904012,807403560.0,905382354.0,-1.28,4,100.0,ap-pa
1711912163,822397992.0,915040532.0,-1.21,4,100.0,ap-pa
1711920079,919872744.0,915040532.0,-0.81,4,100.0,ap-pa
1711939305,701284508.0,923118912.0,-0.71,4,100.0,ap-pa
1711967699,902929922.0,916668429.0,4.01,4,100.0,ap-pa
1711990391,891867610.0,908487654.0,-2.34,4,100.0,ap-pa
1711998880,908284160.0,919446945.0,2.98,4,100.0,ap-pa
1712020807,826121345.0,926781487.0,-4.19,4,100.0,ap-pa
1712025064,877972245.0,926781487.0,7.16,4,100.0,ap-pa
1712068386,2359296.0,902246271.0,67.5,9,3.0,am-df
1712078075,1520439.0,913100619.0,42.15,8,3.0,am-df
1712092398,493355797.0,892233809.0,-6.43,4,100.0,ap-pa
1712107167,823548419.0,927047478.0,15.3,4,100.0,ap-pa
1712139586,891080864.0,914202585.0,-4.53,4,100.0,ap-pa
1712151496,891029639.0,914202585.0,-4.53,4,100.0,ap-pa
1712172832,812700210.0,924846205.0,-15.14,4,100.0,ap-pa
1712193812,905236384.0,919856857.0,-3.93,4,100.0,ap-pa
1712218408,576927899.0,915555116.0,-6.77,4,100.0,ap-pa
1712231601,835087220.0,926841794.0,-6.72,4,100.0,ap-pa
1712278240,920967293.0,924899004.0,-5.68,4,100.0,ap-pa
