Timestamp_cubic,Vazao_cubic,Vazao_bbr,Atraso(ms),Hop_count,Bottleneck,Link_bottleneck
1705413618,940362851.0,927191625.0,9.83,8,100.0,rn-pb
1705425087,938735504.0,927191625.0,10.32,8,100.0,rn-pb
1705465163,938571076.0,924321962.0,9.25,8,100.0,rn-pb
1705507279,940311938.0,926033566.0,10.33,8,100.0,rn-pb
1705513462,943037678.0,926033566.0,10.1,8,100.0,rn-pb
1705530998,936694720.0,915462389.0,11.04,8,100.0,rn-pb
1705556431,939945312.0,928406869.0,10.94,8,100.0,rn-pb
1705583268,940941978.0,928406869.0,10.54,8,100.0,rn-pb
1705595920,932018589.0,925733655.0,11.02,8,100.0,rn-pb
1705621098,939614859.0,916405423.0,12.5,8,100.0,rn-pb
1705626329,950278224.0,916405423.0,12.32,8,100.0,rn-pb
1705704372,893230939.0,918868618.0,10.56,8,100.0,rn-pb
1705730857,949801755.0,914464226.0,9.96,8,100.0,rn-pb
1705749493,940977251.0,927233153.0,8.9,8,100.0,rn-pb
1705765512,943254464.0,929668736.0,10.21,8,100.0,rn-pb
1705780031,944766692.0,929668736.0,11.36,8,100.0,rn-pb
1705850751,943248898.0,929094341.0,10.85,8,100.0,rn-pb
1705859356,942933712.0,929094341.0,11.22,8,100.0,rn-pb
1705879183,930559469.0,918920404.0,9.24,8,100.0,rn-pb
1705891083,940735696.0,918920404.0,9.64,8,100.0,rn-pb
1705912048,943823823.0,922853352.0,8.72,8,100.0,rn-pb
1705986562,939631725.0,918609827.0,9.61,8,100.0,rn-pb
1706010285,936442034.0,925413967.0,9.48,8,100.0,rn-pb
1706023324,943525998.0,925413967.0,16.07,7,40.0,ba-pb
1706032199,936801217.0,917191445.0,18.23,6,40.0,ba-pb
1706093532,949835323.0,915963902.0,7.67,8,100.0,rn-pb
1706100473,938009265.0,918816879.0,9.32,8,100.0,rn-pb
1706123269,941100395.0,928987021.0,11.11,8,100.0,rn-pb
1706137217,942351845.0,912839890.0,10.52,8,100.0,rn-pb
1706191326,937132586.0,928410768.0,11.22,8,100.0,rn-pb
1706220292,942526962.0,899468222.0,11.91,8,100.0,rn-pb
1706231772,945869636.0,914151436.0,11.56,8,100.0,rn-pb
1706285869,797393765.0,924844633.0,9.15,8,100.0,rn-pb
1706292537,912391308.0,919446853.0,9.66,8,100.0,rn-pb
1706378772,942252513.0,918925504.0,11.53,8,100.0,rn-pb
1706387891,830841769.0,918925504.0,10.89,8,100.0,rn-pb
1706406969,939734187.0,928306514.0,11.08,8,100.0,rn-pb
1706431005,939689040.0,928306514.0,13.22,8,100.0,rn-pb
1706517782,940923564.0,929352304.0,10.81,8,100.0,rn-pb
1706542180,928098283.0,926522772.0,11.04,8,100.0,rn-pb
1706547003,937691854.0,926522772.0,12.11,8,100.0,rn-pb
1706562196,938616800.0,923589388.0,12.18,8,100.0,rn-pb
1706577400,944087761.0,927210931.0,11.46,8,100.0,rn-pb
1706613421,944610728.0,917578062.0,11.61,8,100.0,rn-pb
1706642962,946622620.0,928200310.0,11.01,8,100.0,rn-pb
1706700383,949804224.0,917557483.0,11.62,8,100.0,rn-pb
1706751579,940995631.0,921959387.0,10.64,8,100.0,rn-pb
1706781433,937270723.0,930039877.0,11.44,8,100.0,rn-pb
1706795188,915942951.0,930039877.0,10.77,8,100.0,rn-pb
1706813387,941048436.0,928883232.0,4.29,8,100.0,rn-pb
1706902839,934652470.0,929412308.0,10.92,8,100.0,rn-pb
1706918964,936482991.0,840252934.0,10.14,8,100.0,rn-pb
1706946598,941779570.0,925839160.0,10.32,8,100.0,rn-pb
1706968554,940626982.0,921900000.0,9.82,8,100.0,rn-pb
1706990826,942147090.0,925475445.0,10.14,8,100.0,rn-pb
1707031759,941676266.0,923063346.0,12.26,8,100.0,rn-pb
1707050797,945976291.0,923063346.0,11.75,8,100.0,rn-pb
1707066617,950698037.0,928045436.0,12.63,8,100.0,rn-pb
1707073266,939316212.0,929199246.0,10.56,8,100.0,rn-pb
1707096196,951374003.0,904662065.0,8.73,8,100.0,rn-pb
1707116600,940467861.0,927412254.0,10.58,8,100.0,rn-pb
1707129690,934334345.0,927412254.0,9.41,8,100.0,rn-pb
1707142632,942829891.0,928373611.0,10.47,8,100.0,rn-pb
1707185127,938006334.0,913205523.0,8.09,8,100.0,rn-pb
1707233226,939891379.0,918293278.0,10.79,8,100.0,rn-pb
1707250170,940471247.0,918293278.0,11.95,8,100.0,rn-pb
1707264759,939106215.0,931764773.0,10.48,8,100.0,rn-pb
1707269273,898641193.0,931764773.0,10.07,8,100.0,rn-pb
1707313333,940012121.0,903204347.0,11.89,8,100.0,rn-pb
