Timestamp_cubic,Vazao_cubic,Vazao_bbr,Atraso(ms),Hop_count,Bottleneck,Link_bottleneck
1705452011,523343627.0,890294877.0,31.48,8,6.0,ac-ro
1705603974,743128040.0,725719159.0,24.22,8,6.0,ac-ro
1705618396,624753013.0,870509799.0,25.04,8,6.0,ac-ro
1705657669,657563489.0,709528635.0,24.64,8,6.0,ac-ro
1705670249,846749845.0,709528635.0,26.03,8,6.0,ac-ro
1705682888,637380809.0,761691014.0,37.21,8,6.0,ac-ro
1705690874,767979020.0,761691014.0,29.79,8,6.0,ac-ro
1705716764,820878090.0,839179862.0,30.59,8,6.0,ac-ro
1705745479,654629990.0,918711332.0,22.56,8,6.0,ac-ro
1705754612,688238363.0,918711332.0,22.77,8,6.0,ac-ro
1705821706,928856244.0,933918417.0,51.27,11,6.0,ac-ro
1705836769,927726038.0,933918417.0,50.8,11,6.0,ac-ro
1705871652,877219733.0,919979331.0,17.09,8,6.0,ac-ro
1705884898,736310251.0,909954889.0,20.39,10,6.0,ac-ro
1705946561,737514897.0,750467494.0,43.1,8,6.0,ac-ro
1705952778,559637267.0,750467494.0,23.49,8,6.0,ac-ro
1705974881,309539588.0,845310134.0,31.52,8,6.0,ac-ro
1706023848,476088125.0,812024806.0,52.71,10,6.0,ac-ro
1706055258,134480107.0,880174430.0,30.59,10,6.0,ac-ro
1706096348,523764340.0,900835154.0,18.14,8,6.0,ac-ro
1706108188,320445001.0,900835154.0,20.52,8,6.0,ac-ro
1706138734,466514098.0,814639753.0,34.73,8,6.0,ac-ro
1706150259,550397679.0,861523782.0,19.05,8,6.0,ac-ro
1706182984,440349513.0,847124219.0,33.78,8,6.0,ac-ro
1706203714,437572208.0,845311824.0,26.67,8,6.0,ac-ro
1706211374,538234599.0,845311824.0,20.43,8,6.0,ac-ro
1706234208,479413933.0,845311824.0,19.53,8,6.0,ac-ro
1706236830,228120172.0,845311824.0,18.84,8,6.0,ac-ro
1706301022,419905366.0,824865774.0,19.88,8,6.0,ac-ro
1706310938,174625836.0,824865774.0,20.07,8,6.0,ac-ro
1706342617,479356806.0,885192633.0,19.77,8,6.0,ac-ro
1706385736,229151367.0,882686559.0,16.94,10,6.0,ac-ro
1706406344,375192213.0,884317453.0,21.27,10,6.0,ac-ro
1706429286,899258597.0,872524713.0,20.47,8,6.0,ac-ro
1706477797,370882165.0,898600593.0,25.99,8,6.0,ac-ro
1706570134,311909988.0,820042263.0,28.3,8,6.0,ac-ro
1706583361,464730370.0,799004677.0,33.87,8,6.0,ac-ro
1706615782,543321528.0,901094371.0,33.11,8,6.0,ac-ro
1706626983,194144030.0,901094371.0,33.52,8,6.0,ac-ro
1706702910,763471812.0,741240042.0,26.09,8,6.0,ac-ro
1706721695,418486723.0,741240042.0,38.39,8,6.0,ac-ro
1706733936,714151691.0,807929302.0,20.35,8,6.0,ac-ro
1706740579,868486893.0,807929302.0,21.67,8,6.0,ac-ro
1706769965,688241873.0,872679601.0,22.66,8,6.0,ac-ro
1706800855,800379461.0,752872092.0,52.07,10,6.0,ac-ro
1706818229,592550712.0,752872092.0,37.04,8,6.0,ac-ro
1706838624,809240874.0,879912858.0,33.71,8,6.0,ac-ro
1706874995,905239327.0,481250259.0,26.58,8,6.0,ac-ro
1706900163,662281859.0,835872316.0,35.64,8,6.0,ac-ro
1706914449,873255926.0,835872316.0,26.61,8,6.0,ac-ro
1706986089,837607785.0,911384959.0,29.97,8,6.0,ac-ro
1707012409,741399367.0,867751238.0,25.41,8,6.0,ac-ro
1707395085,776132943.0,680263816.0,28.6,8,6.0,ac-ro
1707422443,436051332.0,680263816.0,36.64,8,6.0,ac-ro
1707600356,918019199.0,892977412.0,26.47,8,6.0,ac-ro
1707603952,875303761.0,892977412.0,25.27,8,6.0,ac-ro
1707616445,934963631.0,869168470.0,24.76,8,6.0,ac-ro
1707690217,777049731.0,854304202.0,27.74,10,6.0,ac-ro
1707705909,931352141.0,854304202.0,26.56,10,6.0,ac-ro
1707815951,927765886.0,921280808.0,28.45,10,6.0,ac-ro
1707846054,591187739.0,897421956.0,27.42,10,6.0,ac-ro
1707856078,881966049.0,910847682.0,16.98,10,6.0,ac-ro
1707866588,327313587.0,910847682.0,26.27,10,6.0,ac-ro
1707875993,910479769.0,910847682.0,25.49,10,6.0,ac-ro
1707905137,941991452.0,905816861.0,23.83,10,6.0,ac-ro
1707933607,552291247.0,639369056.0,25.33,8,6.0,ac-ro
1707948547,677013940.0,890651770.0,26.09,8,6.0,ac-ro
1707962590,855797698.0,910638285.0,26.48,8,6.0,ac-ro
1708040007,855483210.0,849346432.0,41.57,8,6.0,ac-ro
1708069744,912835965.0,913206573.0,26.57,8,6.0,ac-ro
1708102250,699296837.0,814341748.0,25.58,8,6.0,ac-ro
1708133504,822647673.0,888248285.0,24.05,10,6.0,ac-ro
1708285679,611788577.0,886939517.0,28.97,8,6.0,ac-ro
1708298270,471335925.0,886939517.0,30.44,8,6.0,ac-ro
1708378443,699245213.0,639895007.0,30.02,8,6.0,ac-ro
1708386681,787567027.0,850025329.0,30.44,8,6.0,ac-ro
1708464474,647234377.0,858628732.0,29.08,10,6.0,ac-ro
1708467835,695993294.0,858628732.0,18.42,10,6.0,ac-ro
1708498018,940689849.0,931974954.0,25.19,10,6.0,ac-ro
1708542954,603142332.0,743913284.0,28.2,8,6.0,ac-ro
1708564765,878972347.0,836818419.0,23.66,8,6.0,ac-ro
1708640910,678010868.0,725143820.0,34.16,8,6.0,ac-ro
1708674889,759312948.0,913573804.0,23.04,8,6.0,ac-ro
1708695858,519307939.0,912000389.0,21.89,8,6.0,ac-ro
1708709468,745119074.0,649383344.0,43.99,8,6.0,ac-ro
1708733255,810136177.0,829317434.0,25.77,8,6.0,ac-ro
1708741310,744186934.0,906957713.0,24.54,8,6.0,ac-ro
1708770413,904662336.0,924519890.0,27.78,8,6.0,ac-ro
1708894853,651215812.0,896267736.0,57.22,10,6.0,ac-ro
1708909077,689439995.0,896267736.0,32.92,8,6.0,ac-ro
1708914573,889931390.0,896267736.0,35.13,8,6.0,ac-ro
1708958676,454960469.0,667221371.0,25.62,8,6.0,ac-ro
1708998068,843321422.0,832519121.0,26.45,8,6.0,ac-ro
1709034458,884270021.0,870214484.0,26.26,8,6.0,ac-ro
1709067534,709137883.0,815843373.0,34.96,8,6.0,ac-ro
1709106618,932788005.0,883950672.0,30.86,8,6.0,ac-ro
1709126624,717594923.0,919235942.0,49.29,8,6.0,ac-ro
1709164829,389704049.0,842797721.0,32.88,8,6.0,ac-ro
1709195239,865606585.0,889668177.0,27.77,8,6.0,ac-ro
1709211180,563981536.0,906546652.0,26.4,8,6.0,ac-ro
1709276544,912529195.0,850133672.0,26.01,8,6.0,ac-ro
1709299056,120429055.0,850133672.0,43.06,10,6.0,ac-ro
1709341921,735523011.0,817156788.0,37.79,8,6.0,ac-ro
1709371865,813330007.0,910738180.0,36.95,8,6.0,ac-ro
1709423805,931442679.0,873991766.0,35.81,10,6.0,ac-ro
1709448380,516582567.0,915408587.0,46.65,11,6.0,ac-ro
1709463114,906337753.0,915408587.0,47.7,11,6.0,ac-ro
1709503083,876244243.0,896954287.0,40.77,8,100.0,ba-pi
1709536772,872949777.0,903663745.0,39.65,8,100.0,ba-pi
1709552755,827487887.0,903663745.0,26.74,8,100.0,ba-pi
1709567391,677613275.0,759849990.0,38.32,8,100.0,ba-pi
1709594424,729548174.0,821403857.0,32.71,8,6.0,ac-ro
1709603338,922590977.0,821403857.0,32.22,8,6.0,ac-ro
1709656700,602923542.0,894017819.0,15.53,10,6.0,ac-ro
1709834757,427001881.0,739300098.0,34.35,8,6.0,ac-ro
1709854964,892392032.0,876609010.0,28.13,8,6.0,ac-ro
1709862618,676803582.0,876609010.0,17.35,8,6.0,ac-ro
1709891996,528538326.0,837175794.0,29.71,8,6.0,ac-ro
1709910440,553805497.0,837175794.0,14.24,8,6.0,ac-ro
1709930173,805989111.0,889216342.0,26.19,8,6.0,ac-ro
1709935836,588933682.0,889216342.0,26.41,9,6.0,ac-ro
