Timestamp_cubic,Vazao_cubic,Vazao_bbr,Atraso(ms),Hop_count,Bottleneck,Link_bottleneck
1705408844,636076569.0,916685031.0,52.11,10,10.0,pa-ma
1705432510,504996474.0,917826511.0,32.95,11,100.0,df-rj
1705439966,546727089.0,917871001.0,34.34,11,100.0,df-rj
1705492187,758014150.0,919828803.0,33.51,11,100.0,df-rj
1705507035,826469431.0,919828803.0,32.82,11,100.0,df-rj
1705522184,174116157.0,918612399.0,41.25,11,10.0,pa-ma
1705555306,691274661.0,916976915.0,27.28,11,100.0,df-rj
1705575155,762734220.0,916976915.0,26.7,11,100.0,df-rj
1705582920,616587998.0,916976915.0,68.06,11,100.0,ba-ce
1705612258,491674959.0,917295981.0,64.64,11,100.0,ba-ce
1705639608,722890101.0,906737760.0,61.29,11,100.0,ba-ce
1705685541,524027506.0,915986037.0,52.93,11,100.0,ba-ce
1705697070,7969187.0,918135808.0,59.36,11,1.0,am-rr
1705748101,741552910.0,257424584.0,54.99,11,100.0,ba-ce
1705779554,783029883.0,915828430.0,33.61,11,100.0,df-rj
1705838211,786790486.0,919886095.0,33.56,11,100.0,df-rj
1705853988,763363938.0,916036314.0,33.55,11,100.0,df-rj
1705928981,645504450.0,915357816.0,37.29,11,100.0,df-rj
1705933994,589196887.0,915357816.0,33.56,11,100.0,df-rj
1705955068,461844837.0,921072290.0,50.33,11,100.0,ba-ce
1705997196,526283952.0,914614516.0,51.51,11,100.0,ba-ce
1706004119,325163710.0,907362096.0,28.18,11,100.0,df-rj
1706019231,309592450.0,905812694.0,34.61,11,100.0,df-rj
1706025836,522870106.0,879022579.0,34.51,11,100.0,ba-ce
1706042385,306290489.0,916874120.0,33.99,11,100.0,df-rj
1706058563,379743602.0,915384558.0,32.94,11,100.0,df-rj
1706095380,173801724.0,817263076.0,41.43,10,10.0,pa-ma
1706126805,352688431.0,901250801.0,28.1,11,100.0,df-rj
1706127487,384670624.0,901250801.0,27.73,11,100.0,df-rj
1706145151,254751628.0,901250801.0,55.19,11,100.0,ba-ce
1706178295,280808933.0,911319816.0,31.71,11,100.0,df-rj
1706196796,459487128.0,911319816.0,34.06,11,100.0,df-rj
1706203626,668992424.0,866701966.0,35.48,11,100.0,df-rj
1706258668,485962765.0,907488647.0,35.59,11,100.0,df-rj
1706290435,551599350.0,906342874.0,49.77,11,100.0,ba-ce
1706295604,616614746.0,906342874.0,50.73,11,100.0,ba-ce
1706316009,690541243.0,916085124.0,51.75,11,100.0,ba-ce
1706347152,514957862.0,917764697.0,51.81,11,100.0,ba-ce
1706400710,715763202.0,891974831.0,49.23,11,100.0,ba-ce
1706416365,728393755.0,891974831.0,50.47,11,100.0,ba-ce
1706433052,193529691.0,772710296.0,46.99,10,10.0,pa-ma
1706434244,193829826.0,772710296.0,45.87,10,10.0,pa-ma
1706438522,195246169.0,684408734.0,45.86,10,10.0,pa-ma
1706474821,195452768.0,785380910.0,46.45,10,10.0,pa-ma
1706478423,193987219.0,785380910.0,46.65,10,10.0,pa-ma
1706509757,195349933.0,766879086.0,45.86,10,10.0,pa-ma
1706530152,99614645.0,798548762.0,46.31,10,10.0,pa-ma
1706540565,280030397.0,910738999.0,34.8,9,3.0,am-df
1706559895,291347759.0,910738999.0,50.36,11,100.0,ba-ce
1706566475,321284184.0,912274621.0,50.52,11,100.0,ba-ce
1706597058,750575617.0,881276316.0,28.86,11,100.0,df-rj
1706614646,413139708.0,881276316.0,29.28,11,100.0,df-rj
1706622012,175059246.0,881276316.0,45.02,11,10.0,pa-ma
1706819026,209137312.0,885639688.0,42.41,10,10.0,pa-ma
1706831968,746430840.0,910750703.0,58.28,11,100.0,ba-ce
1706841091,549769496.0,910750703.0,59.41,9,3.0,am-df
1706900835,616512108.0,922281476.0,54.94,11,100.0,ba-ce
