Timestamp_cubic,Vazao_cubic,Vazao_bbr,Atraso(ms),Hop_count,Bottleneck,Link_bottleneck
1705457530,796304723.0,932235980.0,14.48,8,20.0,go-df
1705534088,820305598.0,945078571.0,3.03,8,20.0,go-df
1705561280,846096735.0,944035002.0,5.37,8,20.0,go-df
1705577369,853543125.0,944035002.0,4.9,8,20.0,go-df
1705705157,837143416.0,932814375.0,6.14,8,20.0,go-df
1705750074,844943343.0,934859148.0,6.47,8,20.0,go-df
1705767905,784912781.0,945449779.0,6.72,8,20.0,go-df
1705782061,837079350.0,942724703.0,13.82,8,20.0,go-df
1705813067,818624470.0,940311515.0,10.05,8,20.0,go-df
1705828986,821509413.0,940311515.0,9.17,8,20.0,go-df
1705848956,713432204.0,938539716.0,9.82,8,20.0,go-df
1705858772,868327044.0,932449005.0,9.77,8,20.0,go-df
1705874108,820040951.0,932449005.0,3.38,8,20.0,go-df
1705886085,818939166.0,931346274.0,4.86,8,20.0,go-df
1705927521,828271549.0,939316776.0,9.34,8,20.0,go-df
1705955113,801112264.0,932814002.0,5.3,8,20.0,go-df
1705970771,832686566.0,933599548.0,5.75,8,20.0,go-df
1706270874,846936105.0,943197366.0,9.34,8,20.0,go-df
1706299281,783811931.0,945029309.0,-2.6,8,20.0,go-df
1706308572,808138977.0,945029309.0,-2.62,8,20.0,go-df
1706341220,847722665.0,942305319.0,-1.93,8,20.0,go-df
1706360312,818886819.0,942305319.0,-2.39,8,20.0,go-df
1706425985,808663590.0,933652864.0,6.05,8,20.0,go-df
1706482027,814788976.0,941465185.0,-1.96,8,20.0,go-df
1706523583,862350109.0,943720428.0,-2.36,8,20.0,go-df
1706547786,841850546.0,942514893.0,-2.32,8,20.0,go-df
1706557592,729757452.0,927204069.0,6.16,8,20.0,go-df
1706574261,785961398.0,931713462.0,16.27,8,20.0,go-df
1706611850,800221494.0,932917274.0,14.39,8,20.0,go-df
1706642563,839649792.0,943195432.0,9.87,8,20.0,go-df
1706817369,838180524.0,944767117.0,9.82,8,20.0,go-df
1706829535,833986381.0,936537199.0,10.02,8,20.0,go-df
1706865673,811495887.0,944191203.0,11.44,8,20.0,go-df
1706896448,773272989.0,935802867.0,19.51,8,20.0,go-df
1706911289,775580440.0,945500553.0,12.04,8,20.0,go-df
1706971522,727922296.0,941674759.0,-2.35,8,20.0,go-df
1706987724,848456458.0,941674759.0,-0.54,8,20.0,go-df
1707011952,857002107.0,943405808.0,10.68,8,20.0,go-df
1707067799,821193320.0,906285596.0,9.25,8,20.0,go-df
