Timestamp_cubic,Vazao_cubic,Vazao_bbr,Atraso(ms),Hop_count,Bottleneck,Link_bottleneck
1705453430,486382536.0,667576511.0,86.81,12,1.0,rr-am
1705479995,755709289.0,667576511.0,42.11,12,1.0,rr-am
1705505344,106850060.0,582904272.0,54.12,7,1.0,rr-ce
1705526023,353003657.0,242063914.0,52.34,12,1.0,rr-am
1705543298,831888268.0,242063914.0,20.26,12,1.0,rr-am
1705583748,15414087.0,893597673.0,29.26,12,1.0,rr-am
1705612875,508350280.0,822294902.0,48.84,12,1.0,rr-am
1705770935,682151798.0,663650386.0,37.49,9,1.0,rr-am
1705776024,616983136.0,663650386.0,42.71,8,1.0,rr-am
1705858826,828847976.0,854589482.0,30.83,12,1.0,rr-am
1705872964,809609658.0,811022120.0,41.69,12,1.0,rr-am
1705878322,876766384.0,811022120.0,42.69,12,1.0,rr-am
1705956437,44827197.0,631138620.0,33.96,8,1.0,rr-am
1705996478,723675413.0,874198554.0,65.31,14,1.0,rr-am
1706007291,851602020.0,874198554.0,42.28,12,1.0,rr-am
1706048407,785437345.0,695888645.0,34.67,12,1.0,rr-am
1706081466,853068237.0,844052306.0,48.22,12,1.0,rr-am
1706166268,12110444.0,670508637.0,53.62,7,1.0,rr-ce
1706592964,35913833.0,265080344.0,59.38,7,1.0,rr-ce
1706605167,155713606.0,265080344.0,59.24,7,1.0,rr-ce
1706631012,33553611.0,564711282.0,54.51,10,1.0,rr-ce
1706648102,542848202.0,564711282.0,40.82,12,1.0,rr-am
1706667119,54263745.0,244004599.0,50.94,7,1.0,rr-ce
1706695120,513855747.0,555955856.0,60.2,7,1.0,rr-ce
1706710712,72509073.0,555955856.0,54.59,7,1.0,rr-ce
1706725558,16305386.0,218471137.0,39.68,7,1.0,rr-ce
1706734402,72404263.0,218471137.0,44.69,7,1.0,rr-ce
1706790785,21967696.0,212651872.0,51.71,7,1.0,rr-ce
1706794660,280232468.0,577819682.0,52.77,7,1.0,rr-ce
1706819630,309330677.0,598056099.0,24.69,8,1.0,rr-am
1706870981,41104226.0,262616016.0,57.62,7,1.0,rr-ce
1706878424,607598153.0,476072821.0,33.96,12,1.0,rr-am
1706899838,568433788.0,651743097.0,38.93,12,1.0,rr-am
1706965711,366163288.0,649437201.0,52.23,7,1.0,rr-ce
1706992164,724200064.0,836660714.0,34.51,12,1.0,rr-am
1706996137,35022487.0,836660714.0,54.87,7,1.0,rr-ce
1707044797,91645661.0,875770718.0,55.38,7,1.0,rr-ce
1707063916,508612551.0,875770718.0,59.27,7,1.0,rr-ce
1707066273,500433771.0,850763201.0,60.05,7,1.0,rr-ce
1707087199,859414006.0,846200366.0,33.23,12,1.0,rr-am
1707096694,37906056.0,859675119.0,51.73,12,1.0,rr-am
1707147602,838795.0,227646259.0,43.42,7,1.0,rr-ce
1707162286,309120668.0,468713964.0,51.61,7,1.0,rr-ce
1707231187,358298902.0,516686624.0,44.02,12,1.0,rr-am
1707248298,269442677.0,649646007.0,34.73,12,1.0,rr-am
1707258039,655518138.0,649646007.0,43.86,12,1.0,rr-am
1707274731,487798238.0,261515128.0,59.38,7,1.0,rr-ce
