Timestamp_cubic,Vazao_cubic,Vazao_bbr,Atraso(ms),Hop_count,Bottleneck,Link_bottleneck
1705497836,730389483.0,928883696.0,6.62,4,100.0,ce-rn
1705711532,943988766.0,935543530.0,3.59,4,100.0,ce-rn
1706039456,941152071.0,916549878.0,12.81,7,40.0,ba-pb
1706109987,941838340.0,921176641.0,3.8,5,100.0,ce-rn
1706134636,944700992.0,917980036.0,4.45,4,100.0,ce-rn
1706157153,938007741.0,926784221.0,3.87,4,100.0,ce-rn
1706176214,939612698.0,928724924.0,4.74,4,100.0,ce-rn
1706188872,940365025.0,928724924.0,4.71,4,100.0,ce-rn
1706211377,940256547.0,921437772.0,4.57,4,100.0,ce-rn
1706566873,940866758.0,773849707.0,3.9,5,100.0,ce-rn
1706575217,871370141.0,773849707.0,2.11,5,100.0,ce-rn
1706613942,942831258.0,931816177.0,1.64,5,100.0,ce-rn
1706620543,942565249.0,920598495.0,1.76,5,100.0,ce-rn
1706628133,942302822.0,920598495.0,1.38,5,100.0,ce-rn
1706634523,925215567.0,930976028.0,4.48,4,100.0,ce-rn
1706741038,736099247.0,869156954.0,4.51,4,100.0,ce-rn
1706752909,943564227.0,919606991.0,4.21,4,100.0,ce-rn
1706816151,940312784.0,907807395.0,4.54,5,100.0,ce-rn
1706916249,805727127.0,575922765.0,5.63,4,100.0,ce-rn
1706978827,937376202.0,915095798.0,-0.89,4,100.0,ce-rn
1706990490,941311052.0,915095798.0,-0.77,4,100.0,ce-rn
1707004204,940626935.0,873647391.0,-1.14,4,100.0,ce-rn
1707013805,935229470.0,873647391.0,1.64,4,100.0,ce-rn
1707062466,940416467.0,930768439.0,-2.26,4,100.0,ce-rn
1707072885,941361222.0,930561880.0,-1.23,4,100.0,ce-rn
1707161816,938845572.0,919321457.0,-2.04,5,100.0,ce-rn
1707181754,593389929.0,919496938.0,4.12,4,100.0,ce-rn
1707261811,862918500.0,928391829.0,4.88,5,100.0,ce-rn
1707272625,942462004.0,929265084.0,5.4,4,100.0,ce-rn
1707307390,938123585.0,929984797.0,5.82,4,100.0,ce-rn
1707322573,943657285.0,931168273.0,4.94,4,100.0,ce-rn
1707330887,942514375.0,931168273.0,4.58,5,100.0,ce-rn
1707351642,931661452.0,927880823.0,5.41,4,100.0,ce-rn
1707375227,945939541.0,919288693.0,4.66,4,100.0,ce-rn
1707388592,938534706.0,919288693.0,5.19,5,100.0,ce-rn
1707416858,933877334.0,941098936.0,27.52,7,40.0,ba-pb
