Timestamp_cubic,Vazao_cubic,Vazao_bbr,Atraso(ms),Hop_count,Bottleneck,Link_bottleneck
1713827576,590672106.0,923324196.0,35.82,8,20,go-df
1713895276,538244911.0,804272893.0,36.17,8,20,go-df
1713912487,482450082.0,804272893.0,35.75,8,20,go-df
1714077906,661658347.0,911317902.0,49.63,7,100,mt-ro
1714084852,698897360.0,911317902.0,48.96,7,100,mt-ro
1714098564,642910906.0,911317902.0,48.83,7,100,mt-ro
1714136117,574240896.0,920443188.0,49.45,7,100,mt-ro
1714138795,370424964.0,920443188.0,58.73,9,10,pa-ma
1714159571,661083713.0,920443188.0,49.05,7,100,mt-ro
1714168360,643830661.0,921700423.0,48.64,7,100,mt-ro
1714199713,695995051.0,899794358.0,48.46,7,100,mt-ro
1714219921,687194569.0,920761123.0,48.89,7,100,mt-ro
1714232413,695270231.0,925111495.0,48.09,7,100,mt-ro
1714242955,559689330.0,925111495.0,49.18,7,100,mt-ro
1714263569,681415716.0,912368623.0,36.84,7,100,mt-ro
1714310447,681531489.0,911740889.0,40.39,7,100,mt-ro
1714321951,647349352.0,910146597.0,42.63,7,100,mt-ro
1714334115,647385315.0,914674536.0,41.56,7,100,mt-ro
1714346591,642523149.0,910729317.0,42.01,7,100,mt-ro
1714405581,669150246.0,917297220.0,41.59,7,100,mt-ro
1714416641,676498954.0,921544650.0,33.62,7,100,mt-ro
1714438930,696630705.0,924479156.0,29.22,7,100,mt-ro
1714442115,697030933.0,924479156.0,29.52,7,100,mt-ro
1714471564,685554396.0,917869422.0,30.12,7,100,mt-ro
1714488492,681059356.0,914795894.0,29.64,8,20,go-df
1714523857,695582649.0,935117161.0,27.5,7,100,mt-ro
1714584510,681055564.0,902510807.0,23.56,7,100,mt-ro
1714587005,698410049.0,902510807.0,22.56,7,100,mt-ro
1714611783,642515554.0,907452850.0,27.98,7,100,mt-ro
1714641732,686595866.0,912885975.0,29.09,7,100,mt-ro
1714650938,648238118.0,912885975.0,13.57,7,100,mt-ro
1714666041,679798140.0,912885975.0,31.85,7,100,mt-ro
1714684248,311498953.0,927417077.0,45.7,11,10,pr-ms
1714697988,641004724.0,923009116.0,30.96,11,10,pr-ms
1714728998,653949532.0,907911663.0,28.07,7,100,mt-ro
1714751477,611848290.0,907911663.0,35.04,8,20,go-df
1714790874,681058607.0,923697526.0,28.07,7,100,mt-ro
1714842434,691065065.0,912316012.0,31.06,7,100,mt-ro
1714849372,696578695.0,912316012.0,31.22,7,100,mt-ro
1714871112,696446188.0,925634675.0,30.78,7,100,mt-ro
1714876264,634611379.0,925634675.0,31.72,7,100,mt-ro
1714924428,697363211.0,914638891.0,26.63,7,100,mt-ro
1714935609,692281807.0,914638891.0,33.9,7,100,mt-ro
1714946736,697199541.0,914638891.0,33.33,7,100,mt-ro
1715010270,671307044.0,917400013.0,34.01,7,100,mt-ro
1715011824,638382964.0,917400013.0,34.64,7,100,mt-ro
1715016893,690176242.0,917400013.0,28.78,7,100,mt-ro
1715080669,697416860.0,913051478.0,34.27,7,100,mt-ro
1715101799,684470555.0,913051478.0,32.99,7,100,mt-ro
1715105712,657884959.0,932213650.0,33.03,7,100,mt-ro
1715119843,655578746.0,920713665.0,32.06,7,100,mt-ro
1715134318,625539495.0,907791917.0,33.64,7,100,mt-ro
1715197023,6084749.0,908803636.0,37.35,8,20,go-df
1715253298,688768643.0,918607485.0,32.81,8,20,go-df
1715266166,629364427.0,660134123.0,32.87,8,20,go-df
1715277091,678636249.0,665274465.0,32.65,8,20,go-df
