Timestamp_cubic,Vazao_cubic,Vazao_bbr,Atraso(ms),Hop_count,Bottleneck,Link_bottleneck
1705887621,270637817.0,269729378.0,47.07,5,1.0,ce-rr
1705971345,280441903.0,753243515.0,56.13,6,1.0,ce-rr
1705977788,253231091.0,872154015.0,42.8,5,1.0,ce-rr
1706081333,656684674.0,796365360.0,44.5,5,1.0,ce-rr
1706113659,454297164.0,796365360.0,60.11,5,1.0,ce-rr
1706601447,264530558.0,262616686.0,76.38,10,1.0,ce-rr
1706621820,233255486.0,816211884.0,39.87,10,1.0,ce-rr
1706627481,399037073.0,816211884.0,39.87,10,1.0,ce-rr
1706631849,202218306.0,816211884.0,43.4,10,1.0,ce-rr
1706646925,640733261.0,862084991.0,53.78,5,1.0,ce-rr
1706656041,530206781.0,883585614.0,47.96,5,1.0,ce-rr
1706685758,267650482.0,267860319.0,40.18,5,1.0,ce-rr
1706712167,426823927.0,657089887.0,44.32,5,100.0,rn-ce
1706733425,743388735.0,244418446.0,62.54,9,1.0,am-rr
1706769554,280023074.0,271035768.0,47.76,5,1.0,ce-rr
1706796386,217000307.0,788883642.0,40.64,5,1.0,ce-rr
1706807978,495204611.0,788883642.0,49.38,5,100.0,rn-ce
1706817067,704960112.0,847564446.0,70.83,9,1.0,am-rr
1706838461,757125928.0,261829924.0,83.92,10,1.0,am-rr
1706868321,330668309.0,675340100.0,38.7,5,100.0,rn-ce
1706903855,523550122.0,872050497.0,62.94,5,1.0,ce-rr
1706915613,256587791.0,889588793.0,49.35,5,100.0,rn-ce
1706936861,197814317.0,256219045.0,48.44,5,1.0,ce-rr
1706966359,533621366.0,894243855.0,53.26,6,1.0,ce-rr
1706977443,529375340.0,894243855.0,34.84,5,100.0,rn-ce
1706983746,739878407.0,884107826.0,59.82,5,100.0,rn-ce
1706996892,267229860.0,884107826.0,38.42,5,1.0,ce-rr
1707003255,249253033.0,266401761.0,45.68,5,1.0,ce-rr
1707030646,263193273.0,263058053.0,38.09,5,1.0,ce-rr
1707053375,816575960.0,274360335.0,76.91,7,100.0,rn-ce
1707070031,259418117.0,268750458.0,38.41,5,1.0,ce-rr
1707077498,258946296.0,265866617.0,43.08,5,1.0,ce-rr
1707088837,489434839.0,883686098.0,73.63,6,1.0,ce-rr
1707101805,236978638.0,883686098.0,38.23,5,1.0,ce-rr
1707147880,749053985.0,684407950.0,64.68,9,1.0,am-rr
1707164508,694833362.0,868589797.0,57.06,9,1.0,am-rr
1707179227,272505595.0,875614351.0,39.62,5,1.0,ce-rr
1707186647,862802815.0,875614351.0,51.82,5,1.0,ce-rr
1707327354,375863514.0,820302399.0,63.94,5,1.0,ce-rr
1707379356,465199323.0,276480524.0,33.26,7,100.0,rn-ce
1707406517,541592672.0,233204165.0,50.74,6,100.0,rn-ce
1707423753,214223305.0,233204165.0,41.5,5,1.0,ce-rr
