Timestamp_cubic,Vazao_cubic,Vazao_bbr,Atraso(ms),Hop_count,Bottleneck,Link_bottleneck
1705401835,777993802.0,899260935.0,40.31,13,1,rr-am
1705409930,333080349.0,470496051.0,77.9,13,1,rr-am
1705438721,579967820.0,582854000.0,68.38,13,1,rr-am
1705453007,718117955.0,250558776.0,79.98,13,1,rr-am
1705517154,307652767.0,591765729.0,75.18,13,1,rr-am
1705526606,596851816.0,807395728.0,50.42,13,1,rr-am
1705695311,528168629.0,573100846.0,98.89,14,1,rr-am
1705710013,3984591.0,643358436.0,55.64,7,1,rr-ce
1705711184,2202009.0,643358436.0,56.25,7,1,rr-ce
1705755332,29307749.0,268225874.0,65.32,7,1,rr-ce
1705886866,123464508.0,261516266.0,54.43,7,1,rr-ce
1705917925,550031365.0,873204152.0,70.0,14,1,rr-am
1705926692,253179548.0,873204152.0,81.89,13,1,rr-am
1705949967,367842226.0,478396373.0,66.52,13,1,rr-am
1705961939,535960247.0,618820065.0,73.39,13,1,rr-am
1706006835,737780139.0,845834507.0,73.55,13,1,rr-am
1706126005,475110545.0,220254236.0,42.94,13,1,rr-am
1706133969,715705978.0,220254236.0,56.38,13,1,rr-am
1706172617,132383064.0,904660527.0,40.61,9,1,rr-am
1706619206,163683221.0,669413328.0,55.58,8,1,rr-ce
1706638901,164156788.0,566598409.0,59.09,7,1,rr-ce
1706660050,427923737.0,662229563.0,58.27,7,1,rr-ce
1706666997,399267810.0,662229563.0,55.78,7,1,rr-ce
1706704367,318810861.0,667524516.0,45.82,13,1,rr-am
1706726084,309751363.0,694787534.0,68.7,13,1,rr-am
1706735168,503602901.0,694787534.0,58.33,14,1,rr-am
1706748513,7182735.0,231735828.0,62.92,7,1,rr-ce
1706787824,1784871.0,251396762.0,55.35,7,1,rr-ce
1706813148,601278190.0,778359755.0,43.9,9,1,rr-am
1706896792,550293757.0,644404024.0,48.47,13,1,rr-am
1706918128,416495199.0,644404024.0,55.51,7,1,rr-ce
1706965857,405747071.0,675913035.0,50.94,7,1,rr-ce
1707001972,97780073.0,791729683.0,61.53,7,1,rr-ce
1707033400,47867657.0,260624268.0,60.68,7,1,rr-ce
1707040207,140037772.0,868379213.0,55.8,7,1,rr-ce
1707056673,468084794.0,868379213.0,59.17,7,1,rr-ce
1707184880,504156626.0,659975549.0,58.46,7,1,rr-ce
1707194686,114871546.0,260256979.0,59.9,7,1,rr-ce
1707214131,63124549.0,263862566.0,59.4,7,1,rr-ce
1707257711,529165201.0,717542243.0,60.79,14,1,rr-am
1707392426,719601.0,189897673.0,59.02,7,1,rr-ce
1707405245,1782582.0,189897673.0,60.6,7,1,rr-ce
1707432471,6658477.0,251571207.0,53.53,7,1,rr-ce
1707456237,135266506.0,250977293.0,52.78,7,1,rr-ce
1707508842,996148.0,674234637.0,44.95,7,1,rr-ce
1707511666,1363150.0,674234637.0,53.4,7,1,rr-ce
1707619410,94109752.0,263297907.0,61.88,9,1,rr-ce
1707651568,84567861.0,263454930.0,62.39,9,1,rr-ce
1707666121,16830085.0,229638695.0,60.68,9,1,rr-ce
1707690996,115291184.0,255643659.0,56.51,7,1,rr-ce
1707703495,13681831.0,218156553.0,59.27,7,1,rr-ce
1707787921,120586577.0,255223806.0,54.48,7,1,rr-ce
1707859728,849086750.0,661288124.0,76.16,13,1,rr-am
1707875959,720371351.0,661288124.0,30.36,13,1,rr-am
1707924395,46399543.0,668397626.0,50.21,7,1,rr-ce
1707931771,685701258.0,836660672.0,42.05,13,1,rr-am
1707948515,93323459.0,836660672.0,52.82,8,1,rr-ce
1708001116,24911263.0,487344726.0,65.58,7,1,rr-ce
1708028471,40684870.0,263455022.0,44.43,7,1,rr-ce
1708039043,663203860.0,263455022.0,58.29,13,1,rr-am
1708107825,557056000.0,807195540.0,59.97,7,1,rr-ce
1708123309,789055215.0,807195540.0,51.75,7,1,rr-ce
1708137855,79165544.0,807195540.0,50.27,7,1,rr-ce
1708168878,76179160.0,151781505.0,54.63,7,1,rr-ce
1708199630,286471922.0,663225546.0,105.15,29,100,sp-rs
1708215523,832778975.0,877452038.0,61.51,7,1,rr-ce
1708241225,791203772.0,887100884.0,53.89,7,1,rr-ce
1708248815,635909296.0,887100884.0,58.21,8,1,rr-ce
1708272094,636225046.0,871594277.0,57.93,7,1,rr-ce
1709276879,749545175.0,861826424.0,64.64,13,1,rr-am
1709331552,630405750.0,674745193.0,56.34,12,1,rr-am
1709347912,906181554.0,780560715.0,41.74,12,1,rr-am
1709384177,721894746.0,793095017.0,63.55,13,1,rr-am
1709425361,847668541.0,265610914.0,43.73,12,1,rr-am
1709449362,83467864.0,897741888.0,56.14,7,1,rr-ce
1709457296,582334950.0,897741888.0,59.03,7,1,rr-ce
1709469558,867018056.0,869742624.0,58.84,12,1,rr-am
1709495508,69730439.0,869377360.0,46.13,7,1,rr-ce
1709506494,651795037.0,897800512.0,42.96,7,1,rr-ce
1709568937,440665363.0,618765006.0,71.87,13,1,rr-am
1709576113,271214928.0,618765006.0,68.64,13,1,rr-am
1709589410,643360913.0,523501882.0,49.11,12,1,rr-am
