Timestamp_cubic,Vazao_cubic,Vazao_bbr,Atraso(ms),Hop_count,Bottleneck,Link_bottleneck
1705426367,889303219.0,944896198.0,26.68,12,100,pr-sc
1705484883,809711723.0,936064590.0,36.73,12,100,pr-sc
1705496621,864459324.0,936064590.0,19.78,12,100,pr-sc
1705521787,843373471.0,945752567.0,45.13,13,10,pa-ma
1705528539,864914194.0,940204354.0,17.99,12,100,pr-sc
1705565414,808934350.0,936695610.0,37.9,12,100,pr-sc
1705575680,846524081.0,937534004.0,34.61,12,100,pr-sc
1705583316,850970056.0,937534004.0,19.84,12,100,pr-sc
1705604033,823657354.0,937168273.0,50.75,13,100,rs-sc
1705623714,812646115.0,933917389.0,49.5,13,10,pa-ma
1705663525,833250793.0,945765203.0,23.72,12,100,pr-sc
1705686739,792829859.0,938950336.0,43.27,12,100,pr-sc
1705697468,782766328.0,938950336.0,61.03,14,3,am-df
1705706764,789999765.0,938376527.0,50.85,12,100,pr-sc
1705733939,823979655.0,945871338.0,18.9,12,100,pr-sc
1705779130,838391833.0,943509533.0,20.73,12,100,pr-sc
1705782653,852387174.0,943509533.0,19.18,12,100,pr-sc
1705801705,829738686.0,934865551.0,14.63,12,100,pr-sc
1705805220,790575733.0,934865551.0,45.72,12,100,pr-sc
1705829056,804821881.0,951057861.0,20.75,12,100,pr-sc
1705867933,818524482.0,925688654.0,49.32,12,100,rs-sc
1705868582,808086225.0,925688654.0,49.63,12,100,rs-sc
1705912544,858631480.0,934280562.0,48.44,13,100,rs-sc
1705927899,708365516.0,934280562.0,48.64,12,100,pr-sc
1705928451,784390453.0,934280562.0,44.6,12,100,pr-sc
1705961732,849823815.0,932236166.0,43.68,12,100,pr-sc
1705965390,730441182.0,932236166.0,49.64,13,10,pa-ma
1705989979,790996692.0,933180631.0,40.47,12,100,pr-sc
1706028686,433009350.0,923851487.0,43.66,12,100,pr-sc
1706035985,475636190.0,923851487.0,46.04,12,100,pr-sc
1706048744,712178112.0,936852522.0,44.31,12,100,pr-sc
1706097048,476736341.0,930158423.0,38.29,12,100,pr-sc
1706097266,492543163.0,930158423.0,38.29,12,100,pr-sc
1706142054,694003669.0,939684013.0,18.6,12,100,pr-sc
1706220942,518573157.0,929302431.0,41.07,12,100,rs-sc
1706260467,495402703.0,938373289.0,21.04,12,100,pr-sc
1706272062,693580941.0,919278275.0,38.36,16,100,pr-sc
1706295103,638740645.0,930400880.0,37.56,12,100,pr-sc
1706309051,820194014.0,930400880.0,36.69,12,100,pr-sc
1706330834,784652049.0,936487720.0,39.38,12,100,pr-sc
1706353981,760430470.0,934858493.0,38.74,12,100,pr-sc
1706384660,755600192.0,934863325.0,36.85,12,100,pr-sc
1706392506,744858643.0,934863325.0,36.4,12,100,pr-sc
1706405284,844159443.0,934804475.0,36.2,12,100,pr-sc
1706496094,538075778.0,948228272.0,45.23,13,10,pa-ma
1706523357,657710374.0,938266836.0,45.48,13,10,pa-ma
1706646768,488217376.0,942983831.0,18.55,12,100,pr-sc
1706662333,798548163.0,943510854.0,18.2,12,100,pr-sc
1706711032,797760370.0,941570043.0,20.34,12,100,pr-sc
1706729769,802057466.0,936222017.0,35.64,12,100,pr-sc
1706793029,805047162.0,952736963.0,32.47,13,10,pa-ma
1706893719,792490039.0,936244300.0,40.29,14,10,pa-ma
1706916748,884316127.0,943349983.0,17.73,12,100,rs-sc
1706926584,784858154.0,944299743.0,20.89,12,100,rs-sc
1706986887,765513061.0,939419332.0,34.96,12,100,pr-sc
1707002721,823394180.0,945922112.0,25.9,12,100,rs-sc
1707013662,810601230.0,945922112.0,24.29,12,100,rs-sc
1707055605,802738761.0,944557260.0,21.9,12,100,rs-sc
