Timestamp_cubic,Vazao_cubic,Vazao_bbr,Atraso(ms),Hop_count,Bottleneck,Link_bottleneck
1705665580,969568222.0,967229329.0,36.65,7,100,ba-se
1705685679,965898824.0,967631667.0,31.63,7,100,ba-se
1705725376,981106609.0,961546643.0,31.57,7,100,ba-se
1705798002,933390906.0,956619711.0,35.07,7,100,ba-se
1705879201,959604230.0,959971328.0,40.11,7,100,ba-se
1705966474,952372342.0,940056844.0,35.05,7,100,ba-se
1705972446,955626092.0,940056844.0,35.24,7,100,ba-se
1706008812,272369304.0,957872212.0,35.58,7,100,ba-se
1706040784,607178661.0,930635024.0,16.4,7,100,ba-se
1706042576,475687334.0,930635024.0,15.54,7,100,ba-se
1706064022,229796062.0,940781822.0,22.97,7,100,ba-se
1706115323,310745808.0,918974671.0,34.61,7,100,ba-se
1706135019,519360731.0,915786853.0,18.95,7,100,ba-se
1706144962,476494900.0,915786853.0,21.91,7,100,ba-se
1706183629,704855500.0,898052286.0,31.12,9,100,al-se
1706189931,397568882.0,898052286.0,33.15,9,100,al-se
1706201864,268960255.0,920808441.0,39.38,7,100,ba-se
1706228091,265072617.0,911947960.0,35.07,7,100,ba-se
1706232886,408001635.0,911947960.0,35.13,7,100,ba-se
1706295266,285737502.0,886989107.0,35.04,7,100,ba-se
1706302111,663330073.0,933549313.0,35.57,7,100,ba-se
1706331861,663438513.0,960759585.0,35.06,7,100,ba-se
1706352836,638945632.0,936942201.0,34.67,7,100,ba-se
1706366572,533097797.0,936942201.0,39.75,7,100,ba-se
1706384988,583480202.0,966101773.0,34.18,7,100,ba-se
1706401269,947216116.0,941624826.0,34.55,7,100,ba-se
1706437264,809363822.0,967054679.0,34.36,7,100,ba-se
1706470708,412091666.0,947718227.0,33.89,7,100,ba-se
1706485044,629670926.0,948095635.0,34.12,7,100,ba-se
1706494867,650408733.0,948095635.0,32.89,7,100,ba-se
1706529203,464991701.0,963555323.0,34.5,7,100,ba-se
1706551659,500004043.0,966473900.0,34.2,7,100,ba-se
1706564773,633218579.0,966473900.0,34.52,7,100,ba-se
1706592245,938739823.0,962961358.0,18.41,7,100,ba-se
1706606601,858262159.0,962961358.0,18.27,7,100,ba-se
1706649277,960268233.0,972819302.0,37.61,9,100,al-se
1706669374,940628251.0,972819302.0,37.4,9,100,al-se
1706774119,929354721.0,963905512.0,21.87,7,100,ba-se
1706789117,976570140.0,963905512.0,22.03,7,100,ba-se
1706810046,968711438.0,966271250.0,38.79,9,100,al-se
1706827342,947648238.0,952696681.0,38.19,9,100,al-se
1706834473,933134034.0,952696681.0,37.86,9,100,al-se
1706885717,881958817.0,957045812.0,42.08,9,100,al-se
1706955522,982518610.0,964906244.0,23.2,7,100,ba-se
1706972307,954258020.0,960286813.0,22.68,7,100,ba-se
1706989236,905289945.0,960286813.0,22.44,7,100,ba-se
1706993392,963354978.0,971717079.0,23.41,7,100,ba-se
1707070186,913626141.0,956301646.0,37.58,9,100,al-se
1707127357,937481669.0,972003880.0,36.13,9,100,al-se
1707178345,904147178.0,971856086.0,36.25,9,100,al-se
1707186631,982888610.0,971856086.0,35.93,9,100,al-se
1707295768,987320307.0,961418667.0,23.28,7,100,ba-se
1707322971,910534475.0,957587230.0,38.26,7,100,ba-se
1707329695,960442370.0,957587230.0,34.54,7,100,ba-se
1707348276,968091125.0,958244483.0,34.71,7,100,ba-se
1707401484,915376617.0,959064869.0,41.69,7,100,ba-se
1707422233,954992645.0,957877863.0,40.58,7,100,ba-se
1707435182,954891177.0,957877863.0,40.92,7,100,ba-se
1707454963,976751523.0,972721107.0,42.2,7,100,ba-se
1707470762,976439781.0,955808130.0,41.2,7,100,ba-se
1707508713,980575944.0,973738248.0,37.46,7,100,ba-se
1707513216,930559887.0,956319482.0,37.7,7,100,ba-se
1707556946,925159067.0,971883502.0,38.03,7,100,ba-se
1707653866,964689678.0,973811508.0,37.84,7,100,ba-se
1707661076,975387736.0,968468376.0,39.25,7,100,ba-se
1707762559,977676424.0,960498113.0,32.44,7,100,ba-se
1707783578,952946583.0,960488398.0,38.12,7,100,ba-se
1707868021,909902051.0,974338475.0,37.01,7,100,ba-se
1707875838,987970974.0,974076331.0,37.51,7,100,ba-se
1707912188,986502224.0,976800923.0,37.45,7,100,ba-se
1707936854,916195112.0,967995693.0,33.71,7,100,ba-se
1707963959,978892985.0,956448475.0,34.19,7,100,ba-se
1708021179,954101115.0,970878751.0,36.79,7,100,ba-se
1708034693,963900740.0,970878751.0,37.16,7,100,ba-se
1708172573,981369933.0,968071694.0,37.13,7,100,ba-se
1708176541,948438841.0,968071694.0,35.61,7,100,ba-se
1708197535,932424855.0,957245126.0,38.87,7,100,ba-se
1708202936,965791504.0,957245126.0,37.66,7,100,ba-se
1708216560,915884196.0,955985305.0,27.31,7,100,ba-se
1708374408,777211803.0,964639468.0,39.25,7,100,ba-se
1708378486,967926564.0,964639468.0,35.37,7,100,ba-se
1708471805,911056533.0,956155069.0,40.39,7,100,ba-se
1708478775,962543419.0,954258354.0,36.51,7,100,ba-se
1708627518,812752761.0,974232887.0,18.89,7,100,ba-se
1708648051,988966382.0,975282341.0,18.94,7,100,ba-se
1708842806,962804119.0,956406491.0,37.72,7,100,ba-se
1708851845,963008587.0,957455846.0,37.41,7,100,ba-se
1708888873,984284609.0,957250343.0,39.58,7,100,ba-se
1708902803,984511402.0,957519813.0,40.44,7,100,ba-se
1708926174,986814676.0,973678167.0,40.34,7,100,ba-se
1708942827,964593261.0,972322015.0,41.04,7,100,ba-se
1708969784,845171751.0,970093045.0,41.02,7,100,ba-se
1708985979,952683629.0,973232347.0,40.28,7,100,ba-se
1709016402,966285886.0,971561493.0,41.22,7,100,ba-se
1709036826,969455463.0,970670443.0,41.67,7,100,ba-se
1709067806,972816724.0,826803250.0,40.42,7,100,ba-se
1709087573,987445253.0,959869158.0,23.38,7,100,ba-se
1709150089,974134933.0,972502735.0,37.6,7,100,ba-se
1709170653,980002461.0,972502735.0,23.06,7,100,ba-se
1709202120,960494895.0,969619875.0,22.54,7,100,ba-se
1709217816,656462252.0,966327195.0,44.78,7,100,ba-se
1709238671,642989375.0,960709510.0,40.28,7,100,ba-se
1709247995,974487381.0,960709510.0,37.96,7,100,ba-se
1709270467,980631364.0,957875995.0,35.05,7,100,ba-se
1709291506,974285169.0,968309346.0,40.65,7,100,ba-se
1709304895,960356281.0,968309346.0,34.92,7,100,ba-se
1709336019,18822062.0,968307652.0,40.35,7,100,ba-se
1709372345,968780692.0,942831730.0,37.21,7,100,ba-se
1709416319,12163496.0,954572832.0,38.39,7,100,ba-se
1709426416,26896077.0,958454870.0,37.87,7,100,ba-se
1709462012,936694580.0,973500781.0,37.24,7,100,ba-se
1709473929,46923867.0,912422147.0,39.65,7,100,ba-se
1709497336,286733666.0,967833981.0,38.42,7,100,ba-se
1709510627,959711391.0,967833981.0,38.58,7,100,ba-se
1709513573,973341450.0,967833981.0,41.16,7,100,ba-se
1709559003,788948819.0,937325179.0,38.57,7,100,ba-se
1709577247,14050947.0,956458789.0,38.16,7,100,ba-se
1709596707,970629482.0,956459602.0,35.55,7,100,ba-se
1709624235,922960240.0,965742020.0,36.61,7,100,ba-se
1709770064,31981448.0,973647893.0,25.31,7,100,ba-se
1709776100,933920098.0,973647893.0,20.38,7,100,ba-se
1709846657,986555590.0,976241003.0,22.44,7,100,ba-se
1709874822,988074054.0,976241003.0,22.75,7,100,ba-se
1709932392,976962655.0,959868966.0,22.77,7,100,ba-se
1709949672,924532787.0,969930811.0,23.59,7,100,ba-se
1710008486,816981041.0,975648661.0,24.25,7,100,ba-se
1710065213,984933100.0,973002844.0,39.51,7,100,ba-se
1710077604,749261816.0,973002844.0,40.05,7,100,ba-se
1710099810,976385496.0,956467302.0,39.35,7,100,ba-se
1710113867,953711840.0,958767862.0,34.23,7,100,ba-se
1710118227,879860913.0,958767862.0,34.33,7,100,ba-se
1710157823,972399384.0,973282713.0,34.67,7,100,ba-se
1710165389,961072525.0,972123758.0,34.46,7,100,ba-se
1710185374,541013382.0,953306328.0,34.66,7,100,ba-se
1710198298,891613761.0,974653146.0,34.72,7,100,ba-se
1710211734,961546211.0,974653146.0,37.65,7,100,ba-se
1710239318,977589897.0,971349688.0,40.41,7,100,ba-se
1710271440,857556367.0,967211531.0,38.21,9,100,al-se
1710359916,927054616.0,958665449.0,40.38,7,100,ba-se
1710364987,963904596.0,958665449.0,40.48,7,100,ba-se
1710382655,961182768.0,956299973.0,41.66,7,100,ba-se
1710465762,987758542.0,954942699.0,39.79,7,100,ba-se
1710498894,954895856.0,970719134.0,40.04,7,100,ba-se
1710580806,950483378.0,958608706.0,23.53,7,100,ba-se
1710626276,919759588.0,972871731.0,39.06,7,100,ba-se
1710653691,269543091.0,972871731.0,39.71,7,100,ba-se
1710724136,971088758.0,953627633.0,36.62,7,100,ba-se
1710802121,951531242.0,952942438.0,28.83,7,100,ba-se
1710858530,673344021.0,971556926.0,33.74,7,100,ba-se
1710965318,970301337.0,957036224.0,32.72,7,100,ba-se
1710989658,982869501.0,959239435.0,29.13,7,100,ba-se
1711012253,942093248.0,958609329.0,31.09,7,100,ba-se
1711052351,979313504.0,973030185.0,30.88,7,100,ba-se
1711067664,382467178.0,973969525.0,18.1,7,100,ba-se
1711110628,968517900.0,955730807.0,31.63,7,100,ba-se
1711179716,914542293.0,958976571.0,34.7,7,100,ba-se
1711200023,939840313.0,957564486.0,29.21,7,100,ba-se
1711211960,984247830.0,957564486.0,31.5,7,100,ba-se
1711224514,975567964.0,968777864.0,31.93,7,100,ba-se
1711237487,918926469.0,968777864.0,27.89,7,100,ba-se
1711274873,947492562.0,957405811.0,31.98,7,100,ba-se
1711277016,976602815.0,957405811.0,32.22,7,100,ba-se
1711291787,918607117.0,957405811.0,34.82,7,100,ba-se
1711305415,929354767.0,957446720.0,33.46,7,100,ba-se
1711331401,984873530.0,972870466.0,33.37,7,100,ba-se
1711389742,84882312.0,970458543.0,33.09,7,100,ba-se
1711414654,977519644.0,970458543.0,32.26,7,100,ba-se
1711419314,919444831.0,970754688.0,31.67,7,100,ba-se
1711471006,398718950.0,967243556.0,32.15,7,100,ba-se
1711476847,964116432.0,967243556.0,32.02,7,100,ba-se
1711504620,944094795.0,957929334.0,32.02,7,100,ba-se
1711519743,955885418.0,955359647.0,32.62,7,100,ba-se
1711540936,13998522.0,955359647.0,32.1,7,100,ba-se
1711550152,957564007.0,973022044.0,32.63,7,100,ba-se
1711566939,832885790.0,954678930.0,31.89,7,100,ba-se
1711579984,1520868.0,954678930.0,30.99,7,100,ba-se
1711633516,122325228.0,957091715.0,30.81,7,100,ba-se
1711644252,934916765.0,957091715.0,31.99,7,100,ba-se
1711662202,1677721.0,5242875.0,31.65,7,100,ba-se
1711683417,978167251.0,958350347.0,33.64,7,100,ba-se
1711696354,972922117.0,958350347.0,35.51,7,100,ba-se
1711745901,930452983.0,958508209.0,34.24,7,100,ba-se
1711765957,945971041.0,958508209.0,37.76,7,100,ba-se
1711830240,978481678.0,971334876.0,33.58,7,100,ba-se
1711916047,961702440.0,956246636.0,34.82,7,100,ba-se
1711930774,969303024.0,956246636.0,32.47,7,100,ba-se
1711954271,969115357.0,958084082.0,34.0,7,100,ba-se
1711977085,1778881.0,959189787.0,32.72,7,100,ba-se
1712004131,958574490.0,955617396.0,34.14,7,100,ba-se
1712011270,898791592.0,969461231.0,34.28,7,100,ba-se
1712052776,982693344.0,958926108.0,37.29,7,100,ba-se
1712068907,175532438.0,958926108.0,34.86,7,100,ba-se
1712088185,934388035.0,972086901.0,32.0,7,100,ba-se
1712096230,0.0,964644002.0,31.6,7,100,ba-se
1712174038,941676219.0,955500393.0,33.29,7,100,ba-se
1712185515,892972031.0,969830366.0,31.31,7,100,ba-se
1712256553,968886549.0,960512455.0,33.1,7,100,ba-se
1712277860,957462501.0,936851585.0,33.79,7,100,ba-se
1712284616,955091772.0,936851585.0,33.7,7,100,ba-se
1712334619,900037366.0,972977708.0,39.6,9,100,al-se
1712344094,968681628.0,972977708.0,35.06,9,100,al-se
1712412194,921108415.0,951288780.0,30.18,7,100,ba-se
1712423273,967363740.0,951288780.0,33.43,7,100,ba-se
1712433728,1939863.0,955358501.0,33.76,7,100,ba-se
1712438362,37067157.0,955358501.0,33.62,7,100,ba-se
1712450189,972557789.0,971925871.0,33.89,7,100,ba-se
1712500424,957875948.0,971141964.0,33.99,7,100,ba-se
1712508073,976278149.0,971141964.0,31.98,7,100,ba-se
1712528248,961440920.0,955245652.0,30.33,7,100,ba-se
1712611062,931662710.0,972713082.0,32.73,7,100,ba-se
1712616909,980762058.0,957822178.0,32.79,7,100,ba-se
1712678747,717804136.0,972818816.0,33.11,7,100,ba-se
1712704740,980477067.0,969611994.0,33.49,7,100,ba-se
1712713720,100454032.0,972504728.0,34.17,7,100,ba-se
1712750191,970773699.0,958870658.0,30.25,7,100,ba-se
1712757268,897002769.0,958870658.0,29.04,7,100,ba-se
1712777139,978486277.0,772448977.0,35.98,7,100,ba-se
1712780449,872730764.0,772448977.0,30.09,7,100,ba-se
1712793910,773085732.0,972664982.0,32.32,7,100,ba-se
1712822776,941819035.0,959660977.0,28.72,7,100,ba-se
1712870378,968046670.0,968885047.0,28.5,7,100,ba-se
1712884436,806940295.0,968885047.0,28.26,7,100,ba-se
1712948334,187013688.0,956883148.0,33.28,7,100,ba-se
1712965639,971826359.0,959448287.0,30.66,7,100,ba-se
1713021298,956459628.0,954258545.0,31.28,7,100,ba-se
1713032355,963163514.0,957350988.0,30.91,7,100,ba-se
1713054068,929094620.0,970249507.0,34.89,7,100,ba-se
1713063251,956984752.0,973183093.0,31.86,7,100,ba-se
1713090137,928725156.0,937888018.0,31.9,7,100,ba-se
1713111252,985506420.0,957091285.0,34.52,7,100,ba-se
1713125527,942306638.0,974286631.0,30.51,7,100,ba-se
1713132524,59611596.0,959137011.0,31.13,7,100,ba-se
1713143833,980209236.0,959137011.0,31.0,7,100,ba-se
1713192058,968156559.0,957671403.0,30.95,7,100,ba-se
1713210846,947574224.0,969121073.0,30.59,7,100,ba-se
1713223155,957197387.0,969121073.0,31.79,7,100,ba-se
1713272281,922329801.0,951947508.0,31.68,7,100,ba-se
1713279804,950183618.0,951947508.0,31.86,7,100,ba-se
1713297339,880529016.0,941412191.0,31.87,7,100,ba-se
1713310385,375705644.0,953940489.0,30.68,7,100,ba-se
1713314470,212653020.0,953940489.0,29.77,7,100,ba-se
1713354316,887467725.0,956343747.0,23.54,7,100,ba-se
1713379857,984613700.0,970825011.0,34.78,7,100,ba-se
1713380942,957308707.0,970825011.0,36.79,7,100,ba-se
1713391164,961999601.0,970939380.0,34.08,7,100,ba-se
1713404276,921513418.0,970939380.0,33.04,7,100,ba-se
1713482313,958295810.0,966976373.0,33.27,7,100,ba-se
1713520718,951951244.0,972037047.0,31.44,7,100,ba-se
1713534378,949596656.0,972037047.0,32.28,7,100,ba-se
1713561849,94319670.0,949065710.0,29.79,7,100,ba-se
1713567507,978527551.0,974861887.0,31.13,7,100,ba-se
1713578213,975491423.0,974861887.0,30.68,7,100,ba-se
1713643121,919288969.0,971402263.0,31.52,7,100,ba-se
1713653757,974335406.0,971402263.0,17.06,7,100,ba-se
1713706754,287782316.0,449263442.0,12.08,7,100,ba-se
1713733611,914628876.0,972090400.0,30.22,7,100,ba-se
1713742211,935904010.0,960073881.0,12.68,7,100,ba-se
1713786006,915068144.0,964689968.0,31.35,7,100,ba-se
1713791851,707213497.0,964689968.0,16.33,7,100,ba-se
1713811613,920962827.0,969673322.0,31.9,7,100,ba-se
